"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2025","4,808.16","4,747.41","4,808.60","4,736.41","2.72M","1.27%"
"10/30/2025","4,747.67","4,674.01","4,748.24","4,671.03","2.67M","1.57%"
"10/29/2025","4,674.39","4,682.44","4,706.96","4,669.30","2.13M","-0.17%"
"10/28/2025","4,682.31","4,681.98","4,684.66","4,656.57","1.59M","0.00%"
"10/27/2025","4,682.14","4,666.25","4,686.77","4,650.49","1.66M","0.34%"
"10/24/2025","4,666.25","4,670.86","4,678.53","4,629.32","2.10M","-0.08%"
"10/23/2025","4,670.13","4,625.62","4,681.51","4,621.10","2.27M","0.96%"
"10/22/2025","4,625.93","4,626.24","4,656.74","4,611.62","2.80M","-0.01%"
"10/21/2025","4,626.24","4,613.88","4,636.58","4,595.48","1.96M","0.29%"
"10/20/2025","4,612.70","4,579.19","4,630.19","4,578.70","2.01M","0.75%"
"10/17/2025","4,578.37","4,673.50","4,673.50","4,543.08","3.33M","-2.07%"
"10/16/2025","4,675.21","4,675.42","4,681.39","4,643.60","2.17M","0.00%"
"10/15/2025","4,675.42","4,697.06","4,725.93","4,671.04","2.77M","-0.47%"
"10/14/2025","4,697.35","4,729.38","4,729.97","4,659.76","3.25M","-0.68%"
"10/13/2025","4,729.38","4,666.88","4,729.46","4,666.36","2.42M","1.34%"
"10/10/2025","4,666.71","4,731.45","4,746.17","4,662.77","2.86M","-1.38%"
"10/09/2025","4,731.83","4,701.64","4,749.67","4,696.36","2.28M","0.62%"
"10/08/2025","4,702.68","4,705.48","4,729.69","4,698.10","2.36M","-0.01%"
"10/07/2025","4,703.24","4,730.14","4,744.68","4,698.31","2.39M","-0.57%"
"10/06/2025","4,730.14","4,756.42","4,765.64","4,719.89","2.97M","-0.56%"
"10/03/2025","4,756.79","4,703.79","4,760.20","4,698.67","2.81M","1.04%"
"10/02/2025","4,708.02","4,699.59","4,717.94","4,677.78","2.64M","0.18%"
"10/01/2025","4,699.72","4,635.06","4,702.83","4,627.98","2.80M","1.37%"
"09/30/2025","4,636.01","4,645.67","4,654.44","4,621.03","2.50M","-0.22%"
"09/29/2025","4,646.29","4,654.04","4,669.59","4,627.79","2.18M","-0.17%"
"09/26/2025","4,654.25","4,630.48","4,657.40","4,617.66","2.52M","0.52%"
"09/25/2025","4,630.31","4,635.11","4,635.11","4,598.60","1.91M","-0.10%"
"09/24/2025","4,635.11","4,641.56","4,650.50","4,608.46","1.92M","-0.14%"
"09/23/2025","4,641.44","4,609.13","4,650.48","4,608.16","1.71M","0.71%"
"09/22/2025","4,608.87","4,628.38","4,631.30","4,590.58","1.94M","-0.43%"
"09/19/2025","4,628.72","4,636.42","4,653.95","4,613.36","9.49M","-0.15%"
"09/18/2025","4,635.87","4,580.11","4,635.97","4,580.11","2.55M","1.26%"
"09/17/2025","4,578.32","4,578.18","4,602.46","4,562.44","2.73M","0.01%"
"09/16/2025","4,577.95","4,646.66","4,647.81","4,567.27","2.79M","-1.46%"
"09/15/2025","4,645.88","4,647.41","4,661.53","4,629.54","2.17M","-0.05%"
"09/12/2025","4,647.99","4,646.70","4,656.31","4,609.28","2.12M","0.06%"
"09/11/2025","4,645.10","4,630.45","4,667.80","4,618.83","2.01M","0.34%"
"09/10/2025","4,629.42","4,655.43","4,676.52","4,629.13","2.11M","-0.56%"
"09/09/2025","4,655.57","4,647.10","4,667.98","4,638.74","1.96M","0.19%"
"09/08/2025","4,646.82","4,599.77","4,647.70","4,599.77","1.75M","1.07%"
"09/05/2025","4,597.61","4,622.30","4,644.60","4,585.05","2.06M","-0.53%"
"09/04/2025","4,622.04","4,596.57","4,650.71","4,588.19","1.60M","0.55%"
"09/03/2025","4,596.57","4,592.65","4,623.38","4,588.13","1.89M","0.09%"
"09/02/2025","4,592.65","4,646.70","4,651.54","4,580.29","2.35M","-1.17%"
"09/01/2025","4,647.20","4,613.20","4,659.35","4,612.33","1.37M","0.71%"
"08/29/2025","4,614.36","4,650.83","4,651.45","4,614.36","2.03M","-0.81%"
"08/28/2025","4,652.04","4,652.26","4,683.72","4,637.81","2.01M","-0.02%"
"08/27/2025","4,652.87","4,703.13","4,714.06","4,636.71","2.33M","-1.08%"
"08/26/2025","4,703.65","4,759.17","4,759.43","4,695.41","4.83M","-1.18%"
"08/25/2025","4,759.68","4,786.37","4,806.06","4,758.58","1.94M","-0.56%"
"08/22/2025","4,786.33","4,810.85","4,810.85","4,780.20","2.77M","-0.51%"
"08/21/2025","4,810.85","4,808.39","4,810.85","4,759.05","2.28M","0.05%"
"08/20/2025","4,808.39","4,848.87","4,850.24","4,796.48","2.22M","-0.83%"
"08/19/2025","4,848.87","4,779.53","4,857.40","4,776.44","2.49M","1.45%"
"08/18/2025","4,779.38","4,842.51","4,842.51","4,770.88","1.90M","-1.38%"
"08/15/2025","4,846.17","4,774.15","4,847.06","4,773.98","2.49M","1.56%"
"08/14/2025","4,771.50","4,720.05","4,771.50","4,716.93","2.44M","1.09%"
"08/13/2025","4,720.15","4,718.03","4,732.17","4,707.63","2.31M","0.07%"
"08/12/2025","4,716.84","4,720.01","4,733.56","4,698.11","2.38M","-0.09%"
"08/11/2025","4,721.03","4,721.35","4,738.16","4,693.17","3.04M","0.00%"
"08/08/2025","4,720.83","4,657.24","4,722.17","4,656.91","3.40M","1.39%"
"08/07/2025","4,656.25","4,564.43","4,695.58","4,561.74","4.64M","2.16%"
"08/06/2025","4,557.85","4,524.21","4,579.63","4,524.21","2.29M","0.76%"
"08/05/2025","4,523.63","4,519.24","4,541.58","4,495.48","2.17M","0.11%"
"08/04/2025","4,518.74","4,458.16","4,519.22","4,455.36","2.22M","1.38%"
"08/01/2025","4,457.10","4,520.36","4,534.45","4,441.25","2.78M","-1.42%"
"07/31/2025","4,521.39","4,582.76","4,584.19","4,518.14","4.15M","-1.34%"
"07/30/2025","4,582.90","4,573.64","4,588.99","4,558.07","1.92M","0.22%"
"07/29/2025","4,572.70","4,557.10","4,583.83","4,551.25","2.10M","0.30%"
"07/28/2025","4,558.93","4,575.57","4,612.31","4,551.57","1.74M","-0.36%"
"07/25/2025","4,575.47","4,567.16","4,581.45","4,534.35","1.88M","0.21%"
"07/24/2025","4,565.99","4,520.08","4,574.88","4,519.18","2.61M","1.22%"
"07/23/2025","4,510.94","4,493.43","4,517.61","4,481.35","2.31M","0.42%"
"07/22/2025","4,492.15","4,508.81","4,515.94","4,474.56","1.55M","-0.37%"
"07/21/2025","4,509.01","4,485.19","4,513.80","4,481.95","2.02M","0.52%"
"07/18/2025","4,485.47","4,487.73","4,496.05","4,469.24","2.32M","-0.02%"
"07/17/2025","4,486.49","4,441.22","4,492.55","4,441.22","1.96M","1.02%"
"07/16/2025","4,441.09","4,458.52","4,474.81","4,432.82","1.82M","-0.41%"
"07/15/2025","4,459.23","4,476.23","4,492.30","4,459.23","1.72M","-0.39%"
"07/14/2025","4,476.60","4,483.01","4,483.26","4,427.87","1.90M","-0.15%"
"07/11/2025","4,483.18","4,506.23","4,506.48","4,449.98","2.01M","-0.49%"
"07/10/2025","4,505.40","4,494.15","4,509.34","4,483.86","2.43M","0.26%"
"07/09/2025","4,493.74","4,411.53","4,493.74","4,410.28","2.53M","1.89%"
"07/08/2025","4,410.22","4,408.57","4,419.11","4,380.26","2.24M","0.05%"
"07/07/2025","4,408.14","4,381.90","4,408.22","4,373.68","1.65M","0.54%"
"07/04/2025","4,384.34","4,431.89","4,431.89","4,367.58","1.49M","-1.07%"
"07/03/2025","4,431.89","4,406.96","4,433.70","4,406.96","1.77M","0.59%"
"07/02/2025","4,405.74","4,394.62","4,436.35","4,394.62","2.21M","0.29%"
"07/01/2025","4,393.01","4,430.29","4,431.61","4,382.71","2.04M","-0.84%"
"06/30/2025","4,430.29","4,419.06","4,432.60","4,385.70","2.09M","0.26%"
"06/27/2025","4,418.88","4,356.95","4,418.88","4,356.95","1.85M","1.40%"
"06/26/2025","4,357.73","4,361.23","4,378.85","4,340.93","1.74M","-0.07%"
"06/25/2025","4,360.72","4,366.09","4,376.42","4,342.28","2.26M","-0.11%"
"06/24/2025","4,365.51","4,306.97","4,371.81","4,306.97","2.44M","1.37%"
"06/23/2025","4,306.63","4,334.85","4,334.85","4,287.52","2.14M","-0.65%"
"06/20/2025","4,334.65","4,308.41","4,365.37","4,308.41","8.59M","0.62%"
"06/19/2025","4,307.90","4,356.26","4,356.56","4,307.75","2.42M","-1.11%"
"06/18/2025","4,356.26","4,373.55","4,387.63","4,332.77","3.13M","-0.39%"
"06/17/2025","4,373.37","4,400.97","4,401.40","4,353.31","3.14M","-0.62%"
"06/16/2025","4,400.44","4,354.71","4,402.94","4,354.71","1.97M","1.04%"
"06/13/2025","4,355.07","4,387.27","4,387.27","4,325.29","2.66M","-0.77%"
"06/12/2025","4,388.88","4,391.53","4,402.62","4,342.32","2.52M","-0.06%"
"06/11/2025","4,391.53","4,392.83","4,420.73","4,389.92","2.61M","-0.06%"
"06/10/2025","4,394.15","4,436.12","4,438.79","4,394.15","2.70M","-0.94%"
"06/09/2025","4,435.93","4,448.91","4,451.77","4,417.68","1.30M","-0.29%"
"06/06/2025","4,448.98","4,415.23","4,448.98","4,396.74","2.81M","0.76%"
"06/05/2025","4,415.60","4,396.61","4,415.60","4,372.97","2.70M","0.44%"
"06/04/2025","4,396.34","4,423.70","4,443.20","4,381.60","3.56M","-0.62%"
"06/03/2025","4,423.62","4,435.88","4,462.35","4,386.64","3.02M","-0.29%"
"06/02/2025","4,436.47","4,426.67","4,442.91","4,386.83","3.58M","0.22%"
"05/30/2025","4,426.79","4,424.00","4,454.54","4,420.80","4.72M","0.06%"
"05/29/2025","4,424.27","4,439.81","4,475.67","4,422.90","1.46M","-0.21%"
"05/28/2025","4,433.37","4,436.60","4,459.25","4,429.88","2.97M","-0.06%"
"05/27/2025","4,435.98","4,415.39","4,455.46","4,411.15","2.36M","0.46%"
"05/26/2025","4,415.57","4,389.15","4,427.81","4,389.15","2.28M","0.73%"
"05/23/2025","4,383.54","4,404.75","4,426.98","4,262.12","3.20M","-0.48%"
"05/22/2025","4,404.63","4,421.87","4,421.96","4,359.11","2.48M","-0.39%"
"05/21/2025","4,422.08","4,456.31","4,456.31","4,407.59","2.92M","-0.74%"
"05/20/2025","4,455.03","4,420.68","4,455.03","4,405.18","2.51M","0.81%"
"05/19/2025","4,419.16","4,435.58","4,435.74","4,387.54","1.97M","-0.42%"
"05/16/2025","4,438.00","4,409.57","4,438.20","4,393.17","3.24M","0.72%"
"05/15/2025","4,406.32","4,444.43","4,444.43","4,385.35","3.23M","-0.87%"
"05/14/2025","4,445.19","4,397.75","4,445.19","4,383.51","3.38M","1.08%"
"05/13/2025","4,397.75","4,398.62","4,400.05","4,366.63","2.49M","-0.01%"
"05/12/2025","4,398.37","4,315.74","4,411.94","4,314.47","3.55M","2.03%"
"05/09/2025","4,310.65","4,293.75","4,324.41","4,292.49","2.62M","0.39%"
"05/08/2025","4,293.75","4,235.41","4,296.40","4,233.41","2.85M","1.42%"
"05/07/2025","4,233.63","4,189.51","4,239.21","4,172.97","3.30M","1.07%"
"05/06/2025","4,188.75","4,190.86","4,218.11","4,101.17","3.18M","0.04%"
"05/05/2025","4,187.21","4,127.05","4,187.39","4,121.30","2.37M","1.63%"
"05/02/2025","4,120.05","4,107.56","4,155.64","4,083.35","3.03M","0.51%"
"04/30/2025","4,099.29","4,089.34","4,099.29","4,027.44","4.16M","0.07%"
"04/29/2025","4,096.41","4,051.74","4,098.80","4,049.19","2.61M","1.09%"
"04/28/2025","4,052.31","4,061.79","4,092.69","4,038.42","2.74M","-0.23%"
"04/25/2025","4,061.59","4,025.57","4,062.39","4,022.51","2.50M","0.90%"
"04/24/2025","4,025.43","4,012.25","4,026.87","3,994.31","2.58M","0.33%"
"04/23/2025","4,012.25","3,925.27","4,048.10","3,925.27","4.08M","2.28%"
"04/22/2025","3,922.66","3,916.53","3,922.66","3,881.08","2.52M","0.17%"
"04/17/2025","3,916.09","3,918.36","3,928.95","3,887.41","2.27M","-0.05%"
"04/16/2025","3,918.10","3,916.36","3,920.89","3,867.42","2.37M","0.07%"
"04/15/2025","3,915.33","3,842.29","3,924.76","3,842.29","2.41M","1.97%"
"04/14/2025","3,839.66","3,716.64","3,853.89","3,716.64","2.71M","3.32%"
"04/11/2025","3,716.20","3,720.18","3,761.71","3,646.21","3.11M","0.02%"
"04/10/2025","3,715.53","3,603.53","3,935.47","3,603.53","5.07M","3.15%"
"04/09/2025","3,602.14","3,705.84","3,705.88","3,558.36","4.11M","-2.80%"
"04/08/2025","3,705.84","3,601.90","3,794.19","3,601.90","5.49M","2.27%"
"04/07/2025","3,623.56","3,761.20","3,761.40","3,481.22","8.08M","-3.70%"
"04/04/2025","3,762.81","4,000.71","4,000.71","3,678.76","7.76M","-5.95%"
"04/03/2025","4,001.00","4,126.84","4,126.84","3,996.05","4.40M","-3.05%"
"04/02/2025","4,126.97","4,154.63","4,155.56","4,099.33","2.18M","-0.67%"
"04/01/2025","4,154.90","4,076.36","4,154.94","4,074.42","2.83M","1.93%"
"03/31/2025","4,076.36","4,175.47","4,176.21","4,055.98","4.09M","-2.38%"
"03/28/2025","4,175.93","4,264.92","4,267.77","4,164.66","3.07M","-2.08%"
"03/27/2025","4,264.54","4,278.11","4,278.11","4,220.35","3.15M","-0.33%"
"03/26/2025","4,278.54","4,274.02","4,294.30","4,245.97","3.52M","0.19%"
"03/25/2025","4,270.37","4,298.91","4,318.51","4,248.25","3.10M","-0.63%"
"03/24/2025","4,297.55","4,263.36","4,318.61","4,263.36","2.46M","0.89%"
"03/21/2025","4,259.64","4,285.26","4,285.26","4,236.51","12.05M","-0.59%"
"03/20/2025","4,285.04","4,337.60","4,351.28","4,253.88","3.31M","-1.22%"
"03/19/2025","4,337.98","4,347.61","4,350.09","4,314.24","3.21M","-0.29%"
"03/18/2025","4,350.76","4,308.21","4,356.08","4,308.21","3.52M","1.00%"
"03/17/2025","4,307.65","4,298.04","4,349.42","4,290.04","3.41M","0.23%"
"03/14/2025","4,297.92","4,205.06","4,300.30","4,198.33","3.76M","2.59%"
"03/13/2025","4,189.54","4,199.12","4,221.66","4,172.00","2.69M","-0.25%"
"03/12/2025","4,200.02","4,175.91","4,222.63","4,175.62","2.86M","0.58%"
"03/11/2025","4,175.61","4,199.61","4,216.04","4,151.19","3.39M","-0.58%"
"03/10/2025","4,199.98","4,289.81","4,306.78","4,171.40","3.60M","-2.12%"
"03/07/2025","4,290.81","4,327.34","4,327.34","4,261.28","3.32M","-0.90%"
"03/06/2025","4,329.90","4,241.07","4,335.19","4,241.07","5.38M","2.10%"
"03/05/2025","4,240.83","4,059.81","4,258.81","4,059.81","5.63M","4.48%"
"03/04/2025","4,059.15","4,156.54","4,156.83","4,037.04","4.74M","-2.35%"
"03/03/2025","4,156.69","4,145.00","4,211.89","4,126.64","3.53M","0.21%"
"02/28/2025","4,148.04","4,210.02","4,210.02","4,121.94","9.09M","-1.50%"
"02/27/2025","4,211.03","4,227.50","4,227.80","4,190.31","3.10M","-0.45%"
"02/26/2025","4,229.96","4,108.39","4,231.10","4,108.39","4.64M","2.96%"
"02/25/2025","4,108.52","4,080.40","4,142.97","4,071.34","3.21M","0.66%"
"02/24/2025","4,081.59","4,048.05","4,093.77","4,045.59","2.79M","0.81%"
"02/21/2025","4,048.87","4,026.60","4,055.58","4,019.86","2.82M","0.53%"
"02/20/2025","4,027.54","4,065.58","4,075.37","4,018.47","3.25M","-0.92%"
"02/19/2025","4,065.12","4,143.75","4,165.45","4,064.45","3.06M","-1.96%"
"02/18/2025","4,146.21","4,105.00","4,155.06","4,094.63","3.59M","0.94%"
"02/17/2025","4,107.42","4,084.02","4,131.77","4,083.76","3.11M","0.58%"
"02/14/2025","4,083.89","4,027.50","4,083.89","4,027.50","3.68M","1.42%"
"02/13/2025","4,026.73","3,971.29","4,027.76","3,969.33","4.19M","1.56%"
"02/12/2025","3,964.90","3,936.16","3,977.15","3,936.16","2.93M","0.73%"
"02/11/2025","3,936.03","3,908.40","3,936.29","3,892.06","2.92M","0.68%"
"02/10/2025","3,909.37","3,878.78","3,916.61","3,873.22","2.64M","0.77%"
"02/07/2025","3,879.45","3,920.03","3,931.54","3,874.37","3.89M","-1.04%"
"02/06/2025","3,920.03","3,791.01","3,925.53","3,791.01","5.03M","3.41%"
"02/05/2025","3,790.82","3,789.77","3,792.80","3,771.58","2.76M","0.02%"
"02/04/2025","3,789.97","3,793.52","3,805.71","3,777.72","3.26M","-0.03%"
"02/03/2025","3,791.26","3,863.45","3,863.60","3,757.17","3.96M","-1.89%"
"01/31/2025","3,864.38","3,852.33","3,874.07","3,846.53","2.82M","0.32%"
"01/30/2025","3,852.11","3,820.39","3,852.11","3,819.86","2.20M","0.85%"
"01/29/2025","3,819.81","3,794.73","3,827.35","3,793.39","2.39M","0.65%"
"01/28/2025","3,795.03","3,823.30","3,834.32","3,793.78","2.83M","-0.74%"
"01/27/2025","3,823.39","3,844.78","3,844.78","3,809.19","2.58M","-0.57%"
"01/24/2025","3,845.21","3,834.49","3,863.78","3,834.49","2.49M","0.28%"
"01/23/2025","3,834.56","3,795.99","3,838.69","3,794.45","2.40M","1.06%"
"01/22/2025","3,794.27","3,800.84","3,821.84","3,790.45","2.63M","-0.17%"
"01/21/2025","3,800.67","3,802.07","3,803.74","3,768.14","2.54M","-0.01%"
"01/20/2025","3,801.23","3,780.91","3,804.17","3,778.96","2.77M","0.55%"
"01/17/2025","3,780.50","3,725.94","3,787.39","3,725.94","3.08M","1.47%"
"01/16/2025","3,725.56","3,728.55","3,743.95","3,718.44","2.53M","-0.04%"
"01/15/2025","3,726.90","3,674.54","3,727.20","3,674.54","3.08M","1.42%"
"01/14/2025","3,674.73","3,663.75","3,689.96","3,663.04","3.07M","0.34%"
"01/13/2025","3,662.12","3,651.64","3,673.88","3,643.02","2.57M","0.29%"
"01/10/2025","3,651.51","3,647.83","3,677.68","3,647.83","3.43M","0.11%"
"01/09/2025","3,647.53","3,638.98","3,656.15","3,616.67","2.05M","0.23%"
"01/08/2025","3,638.98","3,647.62","3,658.68","3,609.95","2.83M","-0.25%"
"01/07/2025","3,648.01","3,676.51","3,676.51","3,646.32","2.45M","-0.83%"
"01/06/2025","3,678.36","3,651.60","3,679.51","3,646.33","2.05M","0.75%"
"01/03/2025","3,650.85","3,657.10","3,675.80","3,649.21","2.55M","-0.16%"
"01/02/2025","3,656.78","3,663.01","3,691.28","3,629.81","2.64M","-0.17%"
"12/30/2024","3,663.01","3,630.16","3,663.01","3,617.00","2.19M","0.90%"
"12/27/2024","3,630.48","3,607.43","3,637.64","3,606.93","2.52M","0.64%"
"12/23/2024","3,607.43","3,588.57","3,608.89","3,578.38","2.27M","0.50%"
"12/20/2024","3,589.54","3,586.02","3,589.88","3,535.67","8.44M","0.03%"
"12/19/2024","3,588.48","3,576.71","3,593.97","3,571.82","3.80M","-0.38%"
"12/18/2024","3,602.14","3,590.36","3,606.18","3,578.08","4.33M","0.34%"
"12/17/2024","3,589.88","3,621.36","3,621.36","3,584.37","3.41M","-0.92%"
"12/16/2024","3,623.05","3,647.66","3,647.66","3,612.34","3.20M","-0.68%"
"12/13/2024","3,647.82","3,637.44","3,658.04","3,637.44","3.10M","0.28%"
"12/12/2024","3,637.52","3,626.79","3,659.25","3,626.79","3.15M","0.30%"
"12/11/2024","3,626.79","3,622.71","3,639.45","3,618.39","3.43M","-0.04%"
"12/10/2024","3,628.39","3,608.91","3,629.99","3,598.35","2.77M","0.54%"
"12/09/2024","3,608.99","3,583.78","3,608.99","3,582.31","2.89M","0.71%"
"12/06/2024","3,583.69","3,576.04","3,585.32","3,569.06","2.51M","0.25%"
"12/05/2024","3,574.83","3,544.66","3,575.09","3,543.63","3.39M","0.88%"
"12/04/2024","3,543.55","3,546.68","3,556.53","3,533.60","3.25M","-0.14%"
"12/03/2024","3,548.57","3,535.80","3,575.39","3,535.80","2.41M","0.37%"
"12/02/2024","3,535.50","3,536.32","3,543.61","3,512.66","3.03M","-0.11%"
"11/29/2024","3,539.28","3,526.08","3,542.50","3,517.55","2.80M","0.30%"
"11/28/2024","3,528.55","3,508.66","3,540.10","3,507.80","1.94M","0.63%"
"11/27/2024","3,506.35","3,520.49","3,520.79","3,492.84","2.36M","-0.34%"
"11/26/2024","3,518.19","3,542.77","3,547.05","3,516.77","2.21M","-0.70%"
"11/25/2024","3,543.04","3,532.66","3,557.06","3,525.65","13.97M","0.29%"
"11/22/2024","3,532.66","3,525.27","3,546.02","3,486.01","2.73M","0.22%"
"11/21/2024","3,524.86","3,513.73","3,525.29","3,496.05","2.83M","0.64%"
"11/20/2024","3,502.28","3,506.13","3,537.51","3,501.53","2.31M","-0.08%"
"11/19/2024","3,505.16","3,570.53","3,593.23","3,486.72","3.01M","-1.82%"
"11/18/2024","3,570.29","3,555.87","3,572.80","3,549.15","2.01M","0.41%"
"11/15/2024","3,555.87","3,540.46","3,573.22","3,528.00","2.96M","0.51%"
"11/14/2024","3,537.91","3,459.23","3,542.72","3,459.23","3.05M","2.22%"
"11/13/2024","3,461.19","3,502.23","3,514.64","3,452.17","3.11M","-1.16%"
"11/12/2024","3,501.88","3,566.51","3,566.51","3,501.48","3.20M","-1.86%"
"11/11/2024","3,568.19","3,550.10","3,584.06","3,550.10","2.21M","0.51%"
"11/08/2024","3,550.16","3,562.92","3,573.15","3,541.58","2.61M","-0.28%"
"11/07/2024","3,560.23","3,515.96","3,587.91","3,514.10","3.37M","1.26%"
"11/06/2024","3,515.96","3,559.78","3,601.41","3,515.96","4.79M","-1.20%"
"11/05/2024","3,558.65","3,533.16","3,558.65","3,527.07","2.28M","0.73%"
"11/04/2024","3,532.75","3,529.04","3,541.44","3,518.58","2.73M","0.12%"
"11/01/2024","3,528.60","3,526.09","3,546.15","3,525.45","1.80M","0.06%"
"10/31/2024","3,526.66","3,545.45","3,575.19","3,517.58","4.65M","-0.54%"
"10/30/2024","3,545.72","3,591.48","3,591.48","3,544.38","3.19M","-1.29%"
"10/29/2024","3,592.23","3,604.52","3,626.55","3,590.21","2.62M","-0.34%"
"10/28/2024","3,604.55","3,582.01","3,608.25","3,574.77","2.18M","0.60%"
"10/25/2024","3,583.16","3,546.41","3,586.91","3,546.41","1.77M","0.94%"
"10/24/2024","3,549.71","3,557.19","3,582.11","3,549.71","2.13M","-0.23%"
"10/23/2024","3,557.74","3,582.02","3,586.75","3,555.28","1.84M","-0.72%"
"10/22/2024","3,583.37","3,600.71","3,609.67","3,560.93","2.14M","-0.48%"
"10/21/2024","3,600.66","3,627.21","3,631.43","3,594.49","1.86M","-0.74%"
"10/18/2024","3,627.45","3,611.36","3,643.59","3,595.46","3.03M","0.45%"
"10/17/2024","3,611.02","3,613.32","3,630.36","3,607.12","1.94M","-0.06%"
"10/16/2024","3,613.32","3,591.56","3,616.64","3,577.71","2.39M","0.65%"
"10/15/2024","3,589.94","3,598.27","3,599.06","3,582.18","2.83M","-0.22%"
"10/14/2024","3,597.97","3,614.78","3,615.35","3,584.78","2.36M","-0.47%"
"10/11/2024","3,614.78","3,604.40","3,624.61","3,600.89","2.04M","0.29%"
"10/10/2024","3,604.23","3,610.94","3,622.16","3,593.16","2.66M","-0.19%"
"10/09/2024","3,610.94","3,576.99","3,610.94","3,561.45","2.08M","0.97%"
"10/08/2024","3,576.21","3,607.90","3,607.90","3,564.22","2.58M","-1.00%"
"10/07/2024","3,612.40","3,610.33","3,626.30","3,587.45","2.51M","0.09%"
"10/04/2024","3,609.24","3,583.70","3,625.84","3,579.94","2.57M","0.71%"
"10/03/2024","3,583.64","3,609.72","3,614.15","3,573.79","2.42M","-0.81%"
"10/02/2024","3,613.04","3,616.68","3,630.15","3,608.59","2.77M","-0.09%"
"10/01/2024","3,616.32","3,654.66","3,657.77","3,609.07","3.55M","-1.06%"
"09/30/2024","3,655.09","3,645.43","3,656.73","3,615.81","4.82M","0.20%"
"09/27/2024","3,647.85","3,618.38","3,650.72","3,617.33","2.99M","0.83%"
"09/26/2024","3,617.73","3,593.23","3,639.91","3,593.23","3.49M","0.73%"
"09/25/2024","3,591.63","3,586.74","3,598.42","3,574.38","3.54M","0.04%"
"09/24/2024","3,590.13","3,593.55","3,620.14","3,590.13","3.67M","-0.11%"
"09/23/2024","3,594.02","3,607.34","3,626.08","3,594.02","7.14M","-0.59%"
"09/20/2024","3,615.48","3,652.97","3,656.41","3,607.30","12.18M","-1.00%"
"09/19/2024","3,652.06","3,605.03","3,674.12","3,605.03","4.83M","1.31%"
"09/18/2024","3,604.88","3,600.81","3,609.71","3,595.23","4.87M","0.13%"
"09/17/2024","3,600.36","3,597.73","3,615.39","3,589.85","5.61M","0.15%"
"09/16/2024","3,595.01","3,603.32","3,603.32","3,580.60","7.53M","-0.22%"
"09/13/2024","3,602.79","3,581.26","3,614.40","3,581.15","3.59M","0.56%"
"09/12/2024","3,582.58","3,558.45","3,611.98","3,558.45","5.02M","0.84%"
"09/11/2024","3,552.86","3,577.99","3,610.83","3,552.86","7.57M","-0.65%"
"09/10/2024","3,576.18","3,614.53","3,636.17","3,571.17","6.64M","-1.07%"
"09/09/2024","3,614.88","3,581.72","3,624.45","3,581.72","8.59M","0.93%"
"09/06/2024","3,581.41","3,644.88","3,644.88","3,580.29","9.30M","-1.74%"
"09/05/2024","3,644.68","3,618.14","3,654.16","3,618.14","7.34M","0.48%"
"09/04/2024","3,627.23","3,647.52","3,647.52","3,607.58","6.12M","-0.67%"
