"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2025","4,902.37","4,959.94","4,974.58","4,879.92","5.07M","-0.80%"
"10/30/2025","4,941.73","4,998.38","5,012.24","4,917.62","5.57M","-0.61%"
"10/29/2025","4,972.19","4,947.77","5,004.54","4,947.77","4.78M","0.48%"
"10/28/2025","4,948.49","4,984.99","4,987.24","4,925.22","4.88M","-0.92%"
"10/27/2025","4,994.60","4,984.42","5,000.12","4,945.85","4.68M","0.01%"
"10/24/2025","4,994.29","5,022.19","5,022.19","4,972.61","3.38M","-0.17%"
"10/23/2025","5,002.98","4,994.36","5,007.02","4,976.25","3.49M","-0.05%"
"10/22/2025","5,005.60","5,034.51","5,042.56","5,003.41","4.64M","-0.80%"
"10/21/2025","5,045.84","5,013.01","5,046.66","5,010.20","4.18M","0.30%"
"10/20/2025","5,030.57","4,990.27","5,030.57","4,983.90","3.90M","1.35%"
"10/17/2025","4,963.34","4,961.29","4,979.99","4,913.03","5.18M","-0.95%"
"10/16/2025","5,010.85","4,975.08","5,010.85","4,967.39","4.92M","0.64%"
"10/15/2025","4,978.80","4,988.67","4,991.69","4,958.08","5.04M","0.46%"
"10/14/2025","4,955.81","4,941.40","4,977.28","4,935.59","4.93M","-0.32%"
"10/13/2025","4,971.59","4,939.38","4,972.20","4,935.21","3.79M","1.02%"
"10/10/2025","4,921.29","4,960.46","4,976.72","4,921.27","4.81M","-0.77%"
"10/09/2025","4,959.53","4,924.28","4,971.16","4,924.28","4.08M","0.39%"
"10/08/2025","4,940.28","4,922.69","4,959.95","4,922.69","4.33M","0.57%"
"10/07/2025","4,912.33","4,910.34","4,912.33","4,888.33","4.20M","0.00%"
"10/06/2025","4,912.28","4,930.49","4,931.38","4,893.81","5.41M","-0.37%"
"10/03/2025","4,930.43","4,933.84","4,950.13","4,911.60","4.25M","0.24%"
"10/02/2025","4,918.73","4,922.48","4,938.18","4,906.55","4.98M","0.22%"
"10/01/2025","4,907.77","4,849.58","4,912.29","4,849.58","5.06M","1.81%"
"09/30/2025","4,820.57","4,768.74","4,820.57","4,761.67","5.26M","0.99%"
"09/29/2025","4,773.12","4,673.42","4,790.96","4,669.32","5.79M","2.20%"
"09/26/2025","4,670.47","4,642.42","4,694.27","4,631.38","4.64M","0.61%"
"09/25/2025","4,642.33","4,684.75","4,686.65","4,642.33","4.48M","-0.84%"
"09/24/2025","4,681.60","4,697.00","4,698.65","4,669.13","4.14M","-0.38%"
"09/23/2025","4,699.64","4,712.20","4,719.29","4,698.59","3.85M","-0.17%"
"09/22/2025","4,707.56","4,711.85","4,717.11","4,686.18","4.10M","-0.03%"
"09/19/2025","4,709.11","4,701.58","4,722.11","4,700.20","15.52M","0.23%"
"09/18/2025","4,698.39","4,718.07","4,723.61","4,691.75","3.99M","-0.26%"
"09/17/2025","4,710.60","4,717.13","4,728.28","4,703.46","5.26M","0.07%"
"09/16/2025","4,707.31","4,763.06","4,763.21","4,704.48","5.28M","-1.20%"
"09/15/2025","4,764.50","4,790.10","4,806.06","4,760.30","4.54M","-0.23%"
"09/12/2025","4,775.68","4,788.33","4,800.74","4,770.30","4.84M","-0.47%"
"09/11/2025","4,798.09","4,797.03","4,801.23","4,778.15","4.09M","0.26%"
"09/10/2025","4,785.75","4,814.55","4,826.87","4,785.75","4.17M","-0.43%"
"09/09/2025","4,806.36","4,795.40","4,807.76","4,785.75","3.44M","0.26%"
"09/08/2025","4,793.69","4,786.91","4,804.09","4,776.82","3.06M","0.52%"
"09/05/2025","4,768.82","4,760.34","4,779.92","4,743.27","3.45M","0.50%"
"09/04/2025","4,745.32","4,745.44","4,765.83","4,743.07","3.92M","0.15%"
