"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2025","3,814.92","3,807.63","3,818.08","3,797.26","","0.21%"
"10/30/2025","3,807.02","3,813.68","3,826.99","3,802.74","","-0.17%"
"10/29/2025","3,813.68","3,823.30","3,829.80","3,794.84","","-0.26%"
"10/28/2025","3,823.70","3,830.41","3,836.46","3,812.39","","-0.18%"
"10/27/2025","3,830.41","3,842.83","3,869.10","3,825.71","","-0.32%"
"10/24/2025","3,842.83","3,838.16","3,853.28","3,830.84","","0.06%"
"10/23/2025","3,840.53","3,818.19","3,850.18","3,815.07","","0.68%"
"10/22/2025","3,814.54","3,802.70","3,823.43","3,802.55","","0.44%"
"10/21/2025","3,797.68","3,790.54","3,801.49","3,786.98","","0.21%"
"10/20/2025","3,789.62","3,784.04","3,790.69","3,772.92","","0.20%"
"10/17/2025","3,781.91","3,783.20","3,783.20","3,760.83","","-0.03%"
"10/16/2025","3,783.20","3,752.78","3,783.20","3,752.78","","0.74%"
"10/15/2025","3,755.29","3,747.50","3,758.26","3,745.22","","0.16%"
"10/14/2025","3,749.37","3,757.52","3,776.84","3,743.44","","-0.31%"
"10/13/2025","3,761.19","3,760.45","3,771.20","3,754.59","","0.02%"
"10/10/2025","3,760.45","3,778.04","3,781.08","3,747.37","","-0.41%"
"10/09/2025","3,775.91","3,780.36","3,782.08","3,757.05","","-0.12%"
"10/08/2025","3,780.36","3,797.70","3,802.15","3,762.81","","-0.45%"
"10/07/2025","3,797.41","3,806.62","3,816.37","3,795.07","","-0.27%"
"10/06/2025","3,807.54","3,826.34","3,831.19","3,802.51","","-0.51%"
"10/03/2025","3,827.04","3,829.21","3,844.48","3,817.63","","0.03%"
"10/02/2025","3,826.02","3,809.22","3,829.86","3,803.23","","0.46%"
"10/01/2025","3,808.50","3,799.63","3,808.65","3,786.12","","0.27%"
"09/30/2025","3,798.11","3,801.29","3,804.09","3,790.53","","0.01%"
"09/29/2025","3,797.62","3,796.98","3,804.77","3,791.12","","0.02%"
"09/26/2025","3,796.98","3,788.89","3,796.98","3,777.34","","0.21%"
"09/25/2025","3,788.89","3,787.58","3,795.38","3,756.76","","-0.01%"
"09/24/2025","3,789.41","3,796.33","3,799.73","3,783.68","","-0.21%"
"09/23/2025","3,797.39","3,827.95","3,834.33","3,785.38","","-0.80%"
"09/22/2025","3,827.95","3,841.78","3,841.78","3,822.79","","-0.36%"
"09/19/2025","3,841.78","3,822.26","3,858.84","3,822.26","","0.50%"
"09/18/2025","3,822.56","3,832.79","3,849.60","3,821.26","","-0.16%"
"09/17/2025","3,828.78","3,838.84","3,848.86","3,826.52","","-0.26%"
"09/16/2025","3,838.84","3,869.04","3,869.04","3,831.66","","-0.78%"
"09/15/2025","3,869.04","3,854.40","3,878.34","3,845.70","","0.45%"
"09/12/2025","3,851.82","3,823.55","3,861.09","3,819.68","","0.74%"
"09/11/2025","3,823.55","3,814.04","3,825.11","3,809.37","","0.28%"
"09/10/2025","3,812.90","3,779.24","3,812.90","3,779.24","","0.89%"
"09/09/2025","3,779.10","3,774.20","3,793.84","3,767.31","","0.10%"
"09/08/2025","3,775.39","3,741.14","3,775.55","3,741.14","","0.92%"
"09/05/2025","3,741.05","3,725.27","3,750.17","3,718.60","","0.42%"
"09/04/2025","3,725.27","3,724.15","3,733.02","3,717.40","","0.05%"
