"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2025","2,396.59","2,375.56","2,403.60","2,375.05","638.00K","0.88%"
"10/30/2025","2,375.64","2,363.09","2,377.23","2,363.09","312.18K","0.53%"
"10/29/2025","2,363.09","2,352.24","2,364.07","2,352.01","232.49K","0.44%"
"10/27/2025","2,352.82","2,354.81","2,360.29","2,347.46","313.24K","-0.05%"
"10/24/2025","2,353.92","2,337.02","2,354.82","2,336.56","304.21K","0.74%"
"10/23/2025","2,336.59","2,343.52","2,343.68","2,328.35","229.03K","-0.31%"
"10/22/2025","2,343.74","2,341.09","2,347.75","2,335.79","217.41K","0.12%"
"10/21/2025","2,340.83","2,342.33","2,349.13","2,331.65","","-0.06%"
"10/20/2025","2,342.33","2,340.55","2,356.81","2,336.39","","0.08%"
"10/17/2025","2,340.55","2,378.08","2,378.40","2,337.30","","-1.60%"
"10/16/2025","2,378.53","2,379.97","2,386.11","2,368.75","","-0.17%"
"10/15/2025","2,382.63","2,384.37","2,402.15","2,381.29","","-0.06%"
"10/14/2025","2,384.11","2,375.97","2,385.20","2,373.05","","0.34%"
"10/13/2025","2,375.97","2,365.36","2,381.17","2,360.71","","0.45%"
"10/10/2025","2,365.36","2,361.68","2,378.58","2,360.00","","0.16%"
"10/09/2025","2,361.68","2,359.12","2,363.50","2,352.67","","0.14%"
"10/08/2025","2,358.47","2,358.83","2,365.05","2,354.62","","-0.02%"
"10/07/2025","2,358.83","2,377.77","2,378.03","2,351.80","","-0.82%"
"10/06/2025","2,378.34","2,368.69","2,386.88","2,368.69","","0.40%"
"10/03/2025","2,368.78","2,359.48","2,369.15","2,358.58","","0.40%"
"10/02/2025","2,359.42","2,350.71","2,362.41","2,347.27","","0.33%"
"10/01/2025","2,351.76","2,330.34","2,352.32","2,323.04","","0.92%"
"09/30/2025","2,330.42","2,336.61","2,336.61","2,325.48","","-0.26%"
"09/29/2025","2,336.61","2,333.96","2,344.60","2,330.17","","0.25%"
"09/26/2025","2,330.74","2,303.98","2,331.32","2,303.98","","1.16%"
"09/25/2025","2,303.98","2,311.44","2,318.28","2,301.56","","-0.32%"
"09/24/2025","2,311.44","2,307.73","2,311.47","2,298.82","","0.17%"
"09/23/2025","2,307.52","2,303.85","2,311.33","2,300.49","","0.17%"
"09/22/2025","2,303.59","2,293.78","2,303.91","2,280.56","","0.42%"
"09/19/2025","2,294.03","2,286.20","2,294.03","2,276.61","","0.46%"
"09/18/2025","2,283.50","2,275.04","2,288.18","2,271.62","","0.37%"
"09/17/2025","2,274.99","2,278.55","2,286.46","2,271.16","","-0.16%"
"09/16/2025","2,278.55","2,295.15","2,298.45","2,275.66","","-0.63%"
"09/15/2025","2,292.98","2,290.70","2,306.92","2,283.74","","0.01%"
"09/12/2025","2,292.82","2,295.05","2,298.38","2,287.29","","-0.04%"
"09/11/2025","2,293.85","2,291.55","2,303.56","2,283.34","","0.14%"
"09/10/2025","2,290.70","2,281.03","2,298.62","2,280.98","","0.42%"
"09/09/2025","2,281.03","2,284.78","2,304.84","2,278.87","","-0.16%"
