"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2025","1,508.30","1,526.84","1,530.51","1,501.67","19.24M","-0.89%"
"10/30/2025","1,521.79","1,541.53","1,545.74","1,512.10","16.79M","-1.95%"
"10/29/2025","1,552.10","1,545.11","1,562.29","1,543.26","11.19M","0.45%"
"10/28/2025","1,545.13","1,551.04","1,563.65","1,544.97","13.00M","-0.75%"
"10/27/2025","1,556.79","1,561.03","1,564.41","1,549.06","14.24M","-0.40%"
"10/24/2025","1,563.10","1,569.38","1,570.93","1,555.20","9.75M","-0.36%"
"10/23/2025","1,568.77","1,552.54","1,568.77","1,551.70","12.08M","0.95%"
"10/22/2025","1,554.00","1,567.72","1,567.72","1,553.07","14.02M","-1.72%"
"10/21/2025","1,581.17","1,587.42","1,592.60","1,566.83","10.54M","-0.79%"
"10/20/2025","1,593.78","1,575.06","1,593.78","1,571.53","13.13M","2.07%"
"10/17/2025","1,561.52","1,569.12","1,575.98","1,550.19","22.43M","-3.09%"
"10/16/2025","1,611.34","1,594.94","1,615.89","1,593.74","10.02M","1.28%"
"10/15/2025","1,590.91","1,588.37","1,592.91","1,574.76","11.33M","0.89%"
"10/14/2025","1,576.86","1,595.15","1,596.59","1,574.12","13.08M","-1.92%"
"10/13/2025","1,607.72","1,597.85","1,610.77","1,592.35","11.27M","-0.69%"
"10/10/2025","1,618.91","1,623.06","1,626.88","1,614.96","15.22M","-0.30%"
"10/09/2025","1,623.75","1,635.77","1,637.11","1,610.84","12.54M","-0.94%"
"10/08/2025","1,639.11","1,623.46","1,642.43","1,621.80","12.52M","1.43%"
"10/07/2025","1,616.08","1,626.10","1,630.96","1,614.95","13.45M","-1.20%"
"10/06/2025","1,635.73","1,624.05","1,638.46","1,612.21","12.98M","0.99%"
"10/03/2025","1,619.76","1,591.14","1,624.07","1,587.50","15.22M","1.55%"
"10/02/2025","1,594.96","1,615.12","1,626.31","1,590.35","16.22M","0.55%"
"10/01/2025","1,586.18","1,541.59","1,586.18","1,541.45","19.68M","4.18%"
"09/30/2025","1,522.60","1,532.39","1,532.41","1,510.95","20.05M","-1.10%"
"09/29/2025","1,539.61","1,523.17","1,540.39","1,508.57","15.13M","0.61%"
