"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2025","5,480.84","5,527.20","5,536.66","5,480.84","58.43M","-0.84%"
"10/30/2025","5,526.99","5,535.07","5,537.68","5,498.91","47.21M","-0.57%"
"10/29/2025","5,558.41","5,563.49","5,589.38","5,520.81","100.13M","-0.15%"
"10/28/2025","5,566.83","5,434.29","5,573.28","5,383.22","91.00M","2.44%"
"10/27/2025","5,434.48","5,417.61","5,435.38","5,394.69","40.79M","0.69%"
"10/24/2025","5,397.15","5,384.31","5,400.55","5,317.76","38.07M","0.58%"
"10/23/2025","5,366.18","5,223.23","5,366.18","5,223.23","77.60M","3.49%"
"10/22/2025","5,185.26","5,165.79","5,202.15","5,156.51","42.68M","0.24%"
"10/21/2025","5,172.91","5,170.71","5,172.91","5,144.75","28.19M","0.20%"
"10/20/2025","5,162.47","5,129.28","5,162.53","5,115.13","27.70M","0.89%"
"10/17/2025","5,117.01","5,126.26","5,139.73","5,066.76","35.45M","-1.01%"
"10/16/2025","5,169.11","5,138.23","5,169.41","5,113.13","42.77M","0.95%"
"10/15/2025","5,120.32","5,115.15","5,124.35","5,095.38","33.57M","0.62%"
"10/14/2025","5,088.94","5,057.72","5,093.66","5,045.05","42.93M","0.50%"
"10/13/2025","5,063.63","5,072.97","5,085.51","5,040.94","29.23M","-0.02%"
"10/10/2025","5,064.55","5,080.38","5,113.44","5,058.24","42.69M","-0.17%"
"10/09/2025","5,073.04","5,065.55","5,092.63","5,064.01","28.79M","0.38%"
"10/08/2025","5,053.63","5,056.89","5,070.41","5,041.88","33.61M","0.46%"
"10/07/2025","5,030.42","5,016.60","5,055.00","5,007.36","27.07M","0.28%"
"10/06/2025","5,016.58","5,034.16","5,039.71","5,000.37","31.74M","-0.63%"
"10/03/2025","5,048.27","5,041.98","5,059.14","5,014.09","25.91M","0.40%"
"10/02/2025","5,028.33","5,047.27","5,060.01","5,011.33","26.46M","0.00%"
"10/01/2025","5,028.27","5,006.70","5,042.11","4,987.67","39.04M","0.25%"
"09/30/2025","5,015.78","5,003.86","5,015.99","4,972.55","40.47M","0.17%"
"09/29/2025","5,007.12","5,005.40","5,020.15","4,994.85","26.17M","0.29%"
"09/26/2025","4,992.57","4,983.25","5,006.27","4,967.36","24.61M","0.50%"
"09/25/2025","4,967.89","5,008.16","5,018.09","4,967.89","34.00M","-0.87%"
"09/24/2025","5,011.43","5,042.32","5,042.45","5,010.83","33.95M","-0.51%"
"09/23/2025","5,037.37","5,005.48","5,052.31","5,002.82","30.05M","0.82%"
"09/22/2025","4,996.55","5,012.08","5,020.04","4,987.57","33.92M","-0.11%"
"09/19/2025","5,001.97","5,015.06","5,038.57","5,001.97","180.25M","-0.24%"
"09/18/2025","5,014.22","5,058.40","5,059.97","5,011.55","34.76M","-0.30%"
"09/17/2025","5,029.37","5,048.87","5,064.81","5,027.41","37.11M","-0.01%"
"09/16/2025","5,029.99","5,051.33","5,058.76","5,025.20","33.10M","-0.55%"
"09/15/2025","5,058.03","5,070.27","5,080.67","5,040.12","23.24M","0.05%"
"09/12/2025","5,055.50","5,073.37","5,078.90","5,043.79","25.45M","-0.12%"
"09/11/2025","5,061.51","5,032.48","5,073.09","5,027.67","23.85M","0.72%"
"09/10/2025","5,025.49","5,036.36","5,052.10","5,014.41","27.53M","0.24%"
"09/09/2025","5,013.49","5,022.53","5,046.13","5,004.92","21.93M","-0.04%"
"09/08/2025","5,015.37","4,990.65","5,016.60","4,982.83","26.18M","0.67%"
"09/05/2025","4,982.01","4,958.56","4,994.07","4,958.09","30.34M","0.86%"
"09/04/2025","4,939.62","4,895.12","4,947.96","4,893.55","31.79M","0.59%"
"09/03/2025","4,910.57","4,907.08","4,932.35","4,886.03","27.16M","0.67%"
