"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2025","1,995.20","2,011.76","2,011.76","1,977.71","53.16M","-0.50%"
"10/30/2025","2,005.20","2,026.80","2,030.26","2,002.46","27.46M","-1.00%"
"10/29/2025","2,025.46","2,006.39","2,028.72","2,006.39","41.46M","1.13%"
"10/27/2025","2,002.91","2,019.64","2,025.28","1,999.71","29.70M","-0.42%"
"10/24/2025","2,011.41","2,045.18","2,045.18","2,011.41","43.78M","-1.32%"
"10/23/2025","2,038.38","2,035.89","2,044.20","2,023.48","35.17M","0.22%"
"10/22/2025","2,033.97","2,026.38","2,038.14","2,021.20","30.27M","0.73%"
"10/21/2025","2,019.25","1,994.55","2,028.15","1,991.87","36.28M","1.15%"
"10/20/2025","1,996.23","2,009.67","2,023.26","1,989.91","44.45M","0.44%"
"10/17/2025","1,987.52","1,988.99","1,990.37","1,948.59","69.29M","-1.30%"
"10/16/2025","2,013.76","2,043.50","2,049.08","1,995.41","51.80M","-1.57%"
"10/15/2025","2,045.81","2,063.07","2,074.92","2,043.50","35.06M","-0.54%"
"10/14/2025","2,056.86","2,082.91","2,083.71","2,053.77","45.74M","-1.45%"
"10/13/2025","2,087.17","2,104.67","2,119.24","2,085.15","46.61M","-1.09%"
"10/10/2025","2,110.14","2,098.35","2,110.32","2,089.04","46.24M","0.58%"
"10/09/2025","2,098.05","2,086.75","2,104.90","2,077.73","70.83M","0.69%"
"10/08/2025","2,083.59","2,071.50","2,098.36","2,071.50","41.43M","0.68%"
"10/07/2025","2,069.60","2,050.83","2,072.21","2,045.65","37.81M","0.80%"
"10/06/2025","2,053.08","2,079.15","2,082.37","2,049.59","31.25M","-1.14%"
"10/03/2025","2,076.71","2,056.35","2,088.41","2,054.24","36.94M","0.95%"
"10/02/2025","2,057.26","2,057.86","2,069.57","2,056.71","36.08M","0.04%"
"10/01/2025","2,056.38","2,031.31","2,057.78","2,025.95","38.78M","1.09%"
"09/30/2025","2,034.22","2,035.05","2,036.60","2,019.82","77.79M","-0.01%"
"09/29/2025","2,034.46","2,037.98","2,052.56","2,032.60","22.94M","0.13%"
"09/26/2025","2,031.81","2,036.67","2,037.77","2,021.39","32.45M","-0.17%"
"09/25/2025","2,035.21","2,056.10","2,056.10","2,033.38","61.19M","-1.46%"
"09/24/2025","2,065.36","2,061.28","2,065.36","2,052.06","39.35M","0.11%"
"09/23/2025","2,063.03","2,047.70","2,071.52","2,046.88","31.45M","1.00%"
"09/22/2025","2,042.63","2,028.21","2,043.87","2,020.00","32.75M","0.60%"
"09/19/2025","2,030.46","2,036.44","2,036.44","2,025.06","65.50M","0.17%"
"09/18/2025","2,027.04","2,026.05","2,034.12","2,024.11","27.29M","0.39%"
"09/17/2025","2,019.26","2,033.22","2,036.52","2,009.36","44.34M","-0.69%"
"09/16/2025","2,033.23","2,056.56","2,056.56","2,033.20","26.96M","-1.18%"
"09/15/2025","2,057.56","2,065.18","2,068.60","2,052.98","27.13M","-0.25%"
"09/12/2025","2,062.73","2,046.02","2,062.78","2,044.38","32.63M","1.10%"
"09/11/2025","2,040.30","2,031.63","2,044.20","2,026.81","32.03M","0.43%"
"09/10/2025","2,031.51","2,015.70","2,031.51","2,015.70","31.12M","0.84%"
"09/09/2025","2,014.65","2,022.67","2,029.81","2,011.06","38.67M","-0.14%"
"09/08/2025","2,017.44","2,030.33","2,034.00","2,004.81","25.40M","-0.28%"
"09/05/2025","2,023.05","2,035.45","2,039.66","2,011.46","26.55M","-0.47%"
"09/04/2025","2,032.51","2,038.44","2,039.94","2,021.20","50.74M","0.02%"
"09/03/2025","2,032.17","2,004.57","2,034.38","1,993.66","27.19M","1.51%"
"09/02/2025","2,001.86","2,030.50","2,035.82","1,995.44","28.74M","-1.45%"
"09/01/2025","2,031.32","2,027.54","2,044.91","2,019.40","26.20M","0.48%"
"08/29/2025","2,021.69","2,041.71","2,045.94","2,020.88","37.31M","-1.06%"
"08/28/2025","2,043.27","2,074.61","2,076.70","2,024.17","34.67M","-1.28%"
"08/27/2025","2,069.74","2,077.29","2,091.04","2,060.83","40.19M","-0.33%"
"08/26/2025","2,076.57","2,104.62","2,104.62","2,063.63","78.14M","-1.87%"
"08/25/2025","2,116.10","2,108.94","2,126.99","2,106.77","72.34M","0.58%"
"08/22/2025","2,103.93","2,103.64","2,108.87","2,098.62","31.94M","0.33%"
"08/21/2025","2,097.07","2,095.21","2,105.39","2,091.07","30.00M","-0.01%"
"08/20/2025","2,097.22","2,090.82","2,102.17","2,083.38","28.22M","0.06%"
