"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2025","107,319.91","106,989.22","107,612.51","106,908.15","3.28M","0.31%"
"10/30/2025","106,989.61","107,141.66","107,403.82","106,620.80","2.74M","-0.14%"
"10/29/2025","107,141.14","106,293.68","107,221.61","106,283.31","3.31M","0.80%"
"10/28/2025","106,293.74","105,316.84","106,733.69","105,065.30","2.92M","0.93%"
"10/27/2025","105,317.01","104,184.74","105,518.05","104,145.58","3.03M","1.09%"
"10/22/2025","104,182.83","103,423.82","104,401.95","103,256.06","2.37M","0.73%"
"10/21/2025","103,424.15","103,790.32","104,184.55","103,248.35","4.80M","-0.35%"
"10/20/2025","103,789.82","102,968.74","103,963.36","102,727.21","3.42M","0.80%"
"10/17/2025","102,968.67","103,067.51","103,161.25","102,098.62","3.36M","-0.09%"
"10/16/2025","103,065.51","102,815.85","103,443.52","102,611.56","2.17M","0.24%"
"10/15/2025","102,816.02","102,388.13","103,505.57","102,325.71","3.64M","0.42%"
"10/14/2025","102,389.83","102,608.04","103,109.64","102,250.06","1.90M","-0.21%"
"10/13/2025","102,607.22","101,990.90","103,031.21","101,725.37","1.89M","0.60%"
"10/10/2025","101,990.76","101,385.60","102,171.74","101,357.80","3.80M","0.60%"
"10/09/2025","101,386.48","101,811.07","101,967.85","101,342.16","2.19M","-0.42%"
"10/08/2025","101,811.05","101,345.59","102,074.51","101,275.79","2.38M","0.46%"
"10/07/2025","101,345.95","99,921.52","101,724.11","99,921.52","1.83M","1.43%"
"10/06/2025","99,921.60","100,462.21","100,910.67","99,910.71","1.70M","-0.54%"
"10/03/2025","100,462.96","99,649.88","100,544.81","99,622.07","1.30M","0.82%"
"10/02/2025","99,650.42","99,157.57","100,135.03","99,132.31","1.42M","0.50%"
"10/01/2025","99,157.11","98,871.84","99,539.98","98,623.63","1.66M","0.29%"
"09/30/2025","98,871.60","99,257.27","99,459.35","98,582.25","3.50M","-0.39%"
"09/29/2025","99,257.44","99,206.82","99,792.48","98,975.51","1.48M","0.05%"
"09/26/2025","99,207.79","98,014.75","99,308.01","97,984.21","2.16M","1.22%"
"09/25/2025","98,014.87","98,377.52","98,649.90","97,869.46","1.96M","-0.37%"
"09/24/2025","98,376.68","98,804.81","98,973.39","98,014.10","2.25M","-0.43%"
"09/23/2025","98,804.66","99,290.26","99,605.69","98,193.33","3.00M","-0.49%"
"09/22/2025","99,290.14","100,097.71","100,344.33","98,752.78","1.96M","-0.81%"
"09/19/2025","100,099.05","99,635.11","100,317.19","99,087.05","6.33M","0.47%"
"09/18/2025","99,634.76","99,347.65","100,389.68","99,275.33","2.13M","0.29%"
"09/17/2025","99,347.92","99,877.49","100,786.39","99,339.56","2.19M","-0.53%"
"09/16/2025","99,877.82","100,640.50","100,975.11","99,630.33","2.64M","-0.76%"
"09/15/2025","100,640.56","101,199.53","101,620.94","99,829.81","2.66M","-0.55%"
"09/12/2025","101,199.84","102,283.22","102,324.65","100,947.51","2.55M","-1.06%"
"09/11/2025","102,284.12","101,533.34","102,383.88","101,357.95","2.28M","0.74%"
"09/10/2025","101,532.64","102,654.01","102,838.76","100,898.06","4.09M","-1.09%"
"09/09/2025","102,653.31","102,973.78","103,499.28","102,358.35","2.46M","-0.31%"
"09/08/2025","102,973.66","103,179.00","103,926.07","102,809.78","2.05M","-0.20%"
"09/05/2025","103,178.71","104,462.12","104,829.46","103,175.55","2.21M","-1.23%"
"09/04/2025","104,462.87","103,128.65","104,480.18","103,128.65","1.89M","1.29%"
"09/03/2025","103,127.60","102,809.16","103,722.42","102,809.16","2.15M","0.31%"
"09/02/2025","102,809.42","103,714.00","104,117.09","102,809.27","1.51M","-0.87%"
"09/01/2025","103,713.16","102,553.38","103,802.57","102,553.38","1.58M","1.13%"
"08/29/2025","102,554.62","103,751.59","104,013.18","102,543.73","1.86M","-1.15%"
"08/28/2025","103,751.98","104,231.64","104,977.98","103,751.98","2.22M","-0.46%"
"08/27/2025","104,232.11","105,155.44","105,411.62","104,232.11","4.09M","-0.88%"
"08/26/2025","105,155.63","104,832.35","105,477.30","103,952.33","5.01M","0.31%"
"08/25/2025","104,831.43","105,515.09","105,944.06","104,371.44","1.58M","-0.65%"
"08/22/2025","105,513.10","106,093.47","106,518.97","105,513.10","1.64M","-0.55%"
"08/21/2025","106,091.94","106,545.03","106,551.52","105,787.83","2.71M","-0.42%"
"08/19/2025","106,542.74","105,518.22","106,720.11","105,315.22","3.48M","0.97%"
"08/18/2025","105,519.51","105,147.15","105,731.13","104,762.78","1.41M","0.35%"
"08/15/2025","105,146.55","104,722.58","105,407.45","104,667.37","1.27M","0.40%"
"08/14/2025","104,722.71","104,740.25","104,968.20","104,379.24","1.58M","-0.02%"
"08/13/2025","104,739.96","104,031.72","104,740.04","103,702.85","1.89M","0.68%"
"08/12/2025","104,031.29","104,191.11","104,617.18","103,546.35","1.88M","-0.15%"
"08/11/2025","104,190.64","104,286.07","105,066.07","103,709.94","1.52M","-0.09%"
"08/08/2025","104,286.14","103,271.99","104,286.16","102,546.53","2.44M","0.98%"
"08/07/2025","103,272.78","101,103.81","103,547.15","101,103.81","3.26M","2.15%"
"08/06/2025","101,103.82","101,785.87","101,807.88","101,102.01","1.65M","-0.67%"
"08/05/2025","101,786.08","100,945.75","101,786.31","100,945.75","6.19M","0.83%"
"08/04/2025","100,945.26","100,519.27","101,532.99","100,519.27","1.42M","0.42%"
"08/01/2025","100,518.47","101,244.77","101,244.77","100,469.13","1.41M","-0.72%"
"07/31/2025","101,244.52","100,843.68","101,353.71","100,843.68","2.29M","0.40%"
"07/30/2025","100,843.67","101,067.95","101,319.09","100,833.47","1.48M","-0.22%"
"07/29/2025","101,068.22","101,308.03","101,512.49","100,972.80","1.95M","-0.24%"
"07/28/2025","101,306.73","101,380.29","101,827.64","101,132.66","1.87M","-0.07%"
"07/25/2025","101,380.77","101,369.83","101,425.01","100,988.49","1.17M","0.01%"
"07/24/2025","101,371.24","100,867.55","101,481.59","100,648.23","1.36M","0.50%"
"07/23/2025","100,868.31","100,311.15","101,029.85","100,311.15","2.33M","0.56%"
"07/22/2025","100,310.98","101,339.64","101,339.64","100,310.98","1.32M","-1.01%"
"07/21/2025","101,339.20","101,262.89","101,393.80","100,887.49","1.17M","0.08%"
"07/18/2025","101,262.87","100,655.50","101,273.05","100,634.18","2.09M","0.60%"
"07/17/2025","100,655.18","99,834.44","100,763.72","99,834.44","2.00M","0.82%"
"07/16/2025","99,833.93","99,787.00","100,299.02","99,505.60","1.86M","0.05%"
"07/15/2025","99,787.20","99,455.18","99,908.36","99,402.68","1.47M","0.33%"
"07/14/2025","99,454.88","99,922.21","99,923.47","99,126.96","1.65M","-0.47%"
"07/11/2025","99,921.45","99,998.65","100,126.99","99,626.61","1.24M","-0.08%"
"07/10/2025","99,997.81","100,049.53","100,133.59","99,609.11","1.26M","-0.05%"
"07/09/2025","100,049.90","98,986.41","100,049.90","98,228.51","1.52M","1.07%"
"07/08/2025","98,986.44","99,459.18","99,695.73","98,865.63","1.51M","-0.48%"
"07/07/2025","99,459.34","99,590.04","99,647.19","99,022.82","1.24M","-0.13%"
"07/04/2025","99,589.80","99,898.87","99,908.64","99,090.73","1.01M","-0.31%"
"07/03/2025","99,899.53","98,185.37","99,918.15","98,110.42","2.64M","1.74%"
"07/02/2025","98,186.74","97,451.62","98,186.79","97,083.74","2.30M","0.75%"
"07/01/2025","97,451.68","97,667.13","98,072.57","97,346.43","1.76M","-0.22%"
"06/30/2025","97,667.46","97,975.15","98,110.93","97,181.46","2.37M","-0.31%"
"06/27/2025","97,975.30","97,715.24","98,093.19","97,538.09","1.04M","0.27%"
"06/26/2025","97,715.24","97,836.78","98,477.16","97,351.94","1.61M","-0.12%"
"06/25/2025","97,837.36","97,958.60","98,498.85","97,581.24","2.02M","-0.12%"
"06/24/2025","97,958.26","97,179.13","98,585.17","97,179.13","2.32M","0.80%"
"06/23/2025","97,181.78","98,561.53","98,561.53","96,748.33","2.70M","-1.40%"
"06/20/2025","98,560.68","97,441.88","98,561.84","97,441.88","5.33M","1.15%"
"06/19/2025","97,441.89","98,545.82","98,667.18","97,424.91","1.46M","-1.12%"
"06/18/2025","98,545.60","97,304.38","98,724.81","97,302.54","4.05M","1.28%"
"06/17/2025","97,304.12","95,799.55","97,309.64","95,625.56","6.04M","1.57%"
"06/16/2025","95,797.50","95,316.47","96,487.18","95,292.83","14.05M","0.50%"
"06/13/2025","95,317.22","95,006.61","95,581.38","93,813.65","4.94M","0.33%"
"06/12/2025","95,003.24","95,832.22","96,062.62","94,526.34","2.86M","-0.86%"
"06/11/2025","95,831.94","96,707.97","97,100.08","95,831.92","1.63M","-0.91%"
"06/10/2025","96,708.80","96,519.02","97,298.22","96,382.88","3.12M","0.19%"
"06/06/2025","96,520.82","96,559.13","96,813.50","96,004.11","1.46M","-0.04%"
"06/05/2025","96,558.99","96,646.97","97,140.41","96,426.59","2.52M","-0.09%"
"06/04/2025","96,646.64","95,951.64","96,897.59","95,949.05","3.22M","0.72%"
"06/03/2025","95,951.81","96,182.39","96,740.30","95,602.83","3.58M","-0.24%"
"06/02/2025","96,182.18","95,697.37","96,759.22","95,286.87","2.77M","0.51%"
"05/30/2025","95,698.30","96,171.29","96,402.01","95,341.29","6.16M","-0.49%"
"05/29/2025","96,171.93","96,853.56","97,342.49","95,640.61","2.30M","-0.70%"
"05/28/2025","96,852.66","96,024.02","96,940.47","96,003.66","3.33M","0.86%"
"05/27/2025","96,023.77","96,060.29","96,587.98","95,473.50","2.43M","-0.04%"
"05/26/2025","96,059.90","95,427.76","96,412.42","95,427.76","2.00M","0.66%"
"05/23/2025","95,426.77","95,457.75","96,783.20","94,247.93","3.83M","-0.03%"
"05/22/2025","95,457.93","95,822.97","95,918.38","95,295.87","3.90M","-0.38%"
"05/21/2025","95,822.72","96,193.57","96,593.73","95,387.07","11.40M","-0.38%"
"05/20/2025","96,192.85","96,395.16","97,102.21","96,085.10","3.09M","-0.21%"
"05/19/2025","96,394.92","97,066.03","97,165.67","95,900.98","4.22M","-0.69%"
"05/16/2025","97,065.84","95,696.08","97,374.22","95,610.54","3.22M","1.43%"
"05/15/2025","95,696.59","95,473.29","96,014.18","95,095.85","3.68M","0.23%"
"05/14/2025","95,473.35","94,132.07","95,534.67","94,094.55","6.81M","1.42%"
"05/13/2025","94,132.71","93,732.56","94,235.31","93,589.17","2.87M","0.43%"
