"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2025","11,877.95","11,870.22","11,930.29","11,815.09","13.60M","0.09%"
"10/30/2025","11,867.82","11,836.47","11,872.05","11,775.67","15.82M","0.26%"
"10/29/2025","11,836.47","11,791.94","11,857.84","11,779.92","14.89M","0.36%"
"10/28/2025","11,794.34","11,799.04","11,799.04","11,716.10","16.02M","-0.04%"
"10/27/2025","11,799.04","11,774.11","11,844.25","11,746.30","10.13M","0.26%"
"10/24/2025","11,768.23","11,606.97","11,768.36","11,595.07","20.43M","1.42%"
"10/23/2025","11,603.88","11,669.76","11,742.63","11,602.10","12.90M","-0.49%"
"10/22/2025","11,661.52","11,601.30","11,683.74","11,528.55","13.28M","0.52%"
"10/21/2025","11,600.79","11,555.51","11,600.79","11,518.92","11.43M","0.41%"
"10/20/2025","11,553.49","11,441.07","11,562.80","11,441.07","15.68M","1.01%"
"10/17/2025","11,438.22","11,600.48","11,600.48","11,380.52","23.22M","-1.83%"
"10/16/2025","11,651.70","11,588.38","11,652.49","11,511.65","10.86M","0.60%"
"10/15/2025","11,582.38","11,639.57","11,707.51","11,582.38","12.57M","-0.30%"
"10/14/2025","11,617.78","11,630.51","11,633.84","11,481.07","13.20M","-0.11%"
"10/13/2025","11,630.51","11,592.75","11,649.74","11,582.74","17.99M","0.33%"
"10/10/2025","11,591.82","11,746.24","11,754.01","11,562.42","10.94M","-1.30%"
"10/09/2025","11,744.69","11,848.91","11,876.90","11,743.72","12.79M","-0.88%"
"10/08/2025","11,848.91","11,754.33","11,853.99","11,744.26","40.23M","0.91%"
"10/07/2025","11,742.61","11,672.17","11,804.09","11,633.28","10.59M","0.54%"
"10/06/2025","11,679.29","11,721.83","11,726.70","11,602.99","9.29M","-0.46%"
"10/03/2025","11,733.02","11,706.84","11,755.25","11,679.11","15.70M","0.23%"
"10/02/2025","11,706.38","11,669.60","11,748.45","11,647.28","12.64M","0.35%"
"10/01/2025","11,665.15","11,618.19","11,670.12","11,574.16","48.33M","0.35%"
"09/30/2025","11,624.68","11,444.05","11,624.68","11,424.96","16.84M","1.58%"
"09/29/2025","11,443.92","11,493.11","11,522.04","11,421.98","9.28M","-0.43%"
"09/26/2025","11,492.98","11,448.44","11,596.00","11,448.44","18.70M","0.39%"
"09/25/2025","11,447.77","11,408.00","11,465.15","11,374.94","19.79M","0.31%"
"09/24/2025","11,411.95","11,355.82","11,439.47","11,318.06","14.03M","0.38%"
"09/23/2025","11,369.17","11,129.24","11,428.61","11,129.24","13.28M","2.24%"
