"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2025","43,175.32","43,259.38","43,493.43","43,029.43","484.84M","-0.06%"
"10/30/2025","43,202.40","43,263.01","43,277.21","42,825.72","684.14M","-0.09%"
"10/29/2025","43,242.53","43,122.19","43,395.26","43,054.22","361.39M","0.26%"
"10/28/2025","43,128.53","42,914.15","43,128.72","42,796.11","327.20M","0.51%"
"10/27/2025","42,911.57","42,651.60","42,975.42","42,626.74","349.75M","1.00%"
"10/24/2025","42,486.67","42,569.46","42,570.09","42,199.11","317.25M","0.25%"
"10/23/2025","42,381.93","42,248.71","42,476.45","42,204.48","460.00M","0.41%"
"10/22/2025","42,209.64","42,764.29","42,764.74","42,185.77","354.40M","-1.03%"
"10/21/2025","42,648.28","42,547.04","42,838.40","42,499.63","473.49M","0.60%"
"10/20/2025","42,392.36","42,128.33","42,496.14","42,093.83","384.36M","1.52%"
"10/17/2025","41,758.11","41,681.78","42,013.32","41,360.08","583.42M","-1.45%"
"10/16/2025","42,374.18","42,083.75","42,375.00","41,711.12","710.47M","1.12%"
"10/15/2025","41,906.90","42,344.53","42,457.56","41,880.69","516.41M","-0.40%"
"10/14/2025","42,075.66","41,710.72","42,080.19","41,523.81","411.61M","-0.22%"
"10/13/2025","42,167.59","42,225.73","42,450.89","42,012.96","408.86M","0.29%"
"10/10/2025","42,047.50","42,897.63","43,051.73","42,043.80","470.03M","-1.74%"
"10/09/2025","42,791.60","43,450.81","43,455.67","42,791.60","500.84M","-1.59%"
"10/08/2025","43,484.24","43,151.50","43,540.41","43,149.45","476.41M","0.96%"
"10/07/2025","43,070.95","43,058.12","43,415.28","42,967.86","388.45M","-0.17%"
"10/06/2025","43,146.13","43,262.78","43,355.60","42,811.00","476.89M","-0.26%"
"10/03/2025","43,258.11","43,308.59","43,369.86","43,175.42","864.43M","0.42%"
"10/02/2025","43,078.13","43,325.26","43,370.39","43,026.73","612.22M","0.00%"
"10/01/2025","43,079.58","42,686.01","43,109.27","42,444.35","567.02M","0.83%"
"09/30/2025","42,725.32","42,514.54","42,762.50","42,335.80","505.58M","0.40%"
"09/29/2025","42,554.40","42,743.12","42,777.15","42,497.33","338.46M","-0.22%"
"09/26/2025","42,646.23","42,394.44","42,721.02","42,298.15","401.27M","0.96%"
"09/25/2025","42,242.49","42,375.77","42,439.76","42,135.40","424.67M","-0.43%"
"09/24/2025","42,423.12","42,382.35","42,531.00","42,154.80","330.84M","-0.13%"
"09/23/2025","42,477.76","42,566.64","42,677.59","42,307.14","373.87M","0.13%"
"09/22/2025","42,423.18","42,255.85","42,439.25","41,942.76","269.34M","0.26%"
"09/19/2025","42,312.28","42,288.82","42,690.86","42,265.42","703.36M","0.01%"
"09/18/2025","42,307.81","42,222.85","42,315.27","42,021.07","401.39M","0.84%"
"09/17/2025","41,954.98","42,586.15","42,589.74","41,884.94","390.88M","-1.29%"
"09/16/2025","42,504.56","43,098.48","43,111.43","42,489.65","408.92M","-1.28%"
"09/15/2025","43,053.72","42,770.87","43,090.75","42,745.12","359.22M","1.14%"
"09/12/2025","42,566.41","42,463.74","42,567.89","42,259.19","314.88M","0.32%"
"09/11/2025","42,432.42","42,118.19","42,534.75","42,029.82","353.68M","0.89%"
"09/10/2025","42,059.74","42,079.01","42,227.98","41,879.26","396.01M","0.12%"
"09/09/2025","42,008.22","41,844.23","42,085.78","41,751.99","420.50M","0.68%"
"09/08/2025","41,723.69","41,815.18","41,879.14","41,628.32","307.69M","0.28%"
