"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2025","971.46","979.02","979.57","970.87","48.51M","-1.03%"
"10/30/2025","981.61","977.70","981.97","973.89","54.17M","0.64%"
"10/29/2025","975.35","973.78","982.72","973.77","43.23M","0.08%"
"10/28/2025","974.60","979.43","980.17","973.06","44.50M","-0.75%"
"10/27/2025","982.00","984.04","985.97","980.38","42.05M","0.31%"
"10/24/2025","978.97","976.58","979.11","975.24","37.36M","0.52%"
"10/23/2025","973.92","971.21","974.97","967.50","43.29M","0.82%"
"10/22/2025","966.00","963.73","971.24","962.05","47.85M","-0.06%"
"10/21/2025","966.58","966.02","967.87","963.77","39.69M","0.02%"
"10/20/2025","966.42","960.76","967.41","959.09","40.89M","1.10%"
"10/17/2025","955.86","945.29","959.72","941.88","63.56M","-0.33%"
"10/16/2025","959.00","956.87","960.99","953.63","44.68M","0.40%"
"10/15/2025","955.21","956.82","957.67","951.61","47.49M","0.61%"
"10/14/2025","949.42","945.88","949.69","941.76","48.37M","-0.25%"
"10/13/2025","951.83","947.60","952.46","946.05","37.61M","1.21%"
"10/10/2025","940.46","956.55","958.66","940.14","59.83M","-1.87%"
"10/09/2025","958.40","960.92","964.49","957.46","46.34M","-0.23%"
"10/08/2025","960.62","954.33","961.53","954.33","44.91M","-0.01%"
"10/07/2025","960.71","967.40","968.62","959.92","52.14M","-0.64%"
"10/06/2025","966.94","963.45","968.73","961.67","55.83M","0.56%"
"10/03/2025","961.51","960.35","961.92","958.75","46.53M","0.27%"
"10/02/2025","958.94","955.37","963.46","955.37","47.07M","1.13%"
"10/01/2025","948.18","939.20","949.11","936.80","50.15M","0.57%"
"09/30/2025","942.78","939.28","943.45","937.07","58.12M","0.11%"
"09/29/2025","941.73","940.46","943.40","938.56","43.75M","0.36%"
"09/26/2025","938.35","936.86","939.04","933.33","42.62M","0.43%"
"09/25/2025","934.36","934.15","937.93","931.33","49.37M","-0.11%"
"09/24/2025","935.40","933.79","937.16","931.69","49.68M","0.08%"
"09/23/2025","934.66","928.30","938.94","927.60","46.11M","0.43%"
"09/22/2025","930.62","932.68","934.92","929.27","44.43M","0.07%"
"09/19/2025","929.94","930.16","934.06","927.40","92.81M","-0.36%"
"09/18/2025","933.30","919.36","934.99","919.36","51.59M","2.02%"
"09/17/2025","914.81","913.75","916.07","910.93","45.67M","0.36%"
"09/16/2025","911.52","922.66","922.66","911.52","48.33M","-0.83%"
"09/15/2025","919.13","911.37","919.78","910.46","43.97M","1.13%"
"09/12/2025","908.89","907.83","913.63","906.64","40.67M","0.35%"
"09/11/2025","905.73","902.69","907.25","900.97","43.28M","0.47%"
"09/10/2025","901.51","910.19","911.77","900.78","47.48M","-0.68%"
