"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2025","8,426.96","8,472.25","8,481.92","8,415.32","73.79M","-0.23%"
"10/30/2025","8,446.47","8,422.01","8,449.00","8,376.20","139.93M","0.73%"
"10/29/2025","8,385.55","8,337.42","8,431.10","8,314.84","120.44M","0.44%"
"10/28/2025","8,348.77","8,322.90","8,375.37","8,278.99","69.95M","-0.04%"
"10/27/2025","8,352.01","8,305.47","8,358.65","8,290.97","85.78M","-0.21%"
"10/24/2025","8,369.58","8,341.22","8,375.43","8,304.16","63.98M","0.19%"
"10/23/2025","8,353.59","8,307.68","8,381.56","8,304.50","51.22M","0.58%"
"10/22/2025","8,305.43","8,280.72","8,344.33","8,272.79","65.21M","0.40%"
"10/21/2025","8,272.22","8,327.18","8,345.78","8,264.66","67.03M","-0.64%"
"10/20/2025","8,325.18","8,275.63","8,350.58","8,268.21","86.90M","0.71%"
"10/17/2025","8,266.08","8,285.84","8,306.59","8,206.76","124.67M","-0.90%"
"10/16/2025","8,340.83","8,276.52","8,340.83","8,243.62","63.86M","1.08%"
"10/15/2025","8,251.93","8,266.43","8,299.71","8,243.26","78.05M","0.29%"
"10/14/2025","8,228.32","8,213.49","8,231.39","8,167.96","72.19M","0.02%"
"10/13/2025","8,226.37","8,178.63","8,226.37","8,172.80","54.12M","0.69%"
"10/10/2025","8,169.87","8,221.51","8,248.61","8,169.87","64.72M","-0.73%"
"10/09/2025","8,229.95","8,200.75","8,274.47","8,171.34","64.33M","0.99%"
"10/08/2025","8,149.10","8,162.30","8,192.67","8,132.57","64.50M","0.40%"
"10/07/2025","8,116.60","8,194.65","8,198.35","8,116.60","67.21M","-0.75%"
"10/06/2025","8,178.21","8,117.99","8,188.99","8,096.83","72.35M","0.78%"
"10/03/2025","8,115.02","8,043.26","8,116.23","8,041.70","66.84M","0.86%"
"10/02/2025","8,045.89","8,046.32","8,051.09","7,998.21","69.45M","0.06%"
"10/01/2025","8,041.23","7,980.43","8,041.23","7,958.76","58.77M","1.05%"
"09/30/2025","7,957.62","7,963.73","7,976.90","7,903.27","64.09M","-0.30%"
"09/29/2025","7,981.43","7,983.99","7,993.46","7,936.11","68.60M","0.36%"
"09/26/2025","7,953.02","7,927.43","7,959.22","7,896.70","75.51M","0.49%"
"09/25/2025","7,914.52","7,892.30","7,954.61","7,892.30","66.26M","0.00%"
"09/24/2025","7,914.88","7,816.59","7,914.88","7,795.95","73.34M","1.32%"
"09/23/2025","7,811.64","7,780.03","7,821.34","7,780.03","97.82M","1.20%"
"09/22/2025","7,719.11","7,713.25","7,778.17","7,704.01","73.26M","0.19%"
"09/19/2025","7,704.09","7,730.62","7,779.54","7,671.74","114.26M","-0.29%"
"09/18/2025","7,726.20","7,749.04","7,758.17","7,711.72","56.77M","-0.05%"
"09/17/2025","7,729.87","7,738.44","7,771.03","7,707.57","50.75M","-0.10%"
"09/16/2025","7,737.97","7,773.49","7,775.24","7,725.19","74.32M","-0.37%"
"09/15/2025","7,766.91","7,751.69","7,785.53","7,738.12","56.08M","0.24%"
"09/12/2025","7,748.45","7,747.88","7,763.89","7,726.73","56.24M","-0.08%"
"09/11/2025","7,754.89","7,750.96","7,788.50","7,720.44","63.74M","0.33%"
"09/10/2025","7,729.37","7,708.27","7,735.24","7,639.48","58.49M","0.54%"
"09/09/2025","7,687.51","7,756.16","7,767.60","7,676.47","67.51M","-0.86%"
"09/08/2025","7,754.11","7,721.98","7,774.18","7,712.92","52.53M","0.65%"
"09/05/2025","7,704.26","7,751.13","7,751.13","7,695.40","91.60M","-0.58%"
"09/04/2025","7,749.33","7,652.87","7,763.85","7,642.94","65.95M","1.32%"
"09/03/2025","7,648.38","7,678.68","7,680.52","7,639.00","54.59M","-0.38%"
"09/02/2025","7,677.58","7,801.82","7,803.83","7,662.04","60.25M","-1.71%"
"09/01/2025","7,810.85","7,777.09","7,821.86","7,762.35","48.39M","0.65%"
"08/29/2025","7,760.08","7,816.84","7,816.84","7,738.96","92.75M","-0.55%"
"08/28/2025","7,802.78","7,820.02","7,843.23","7,765.16","74.92M","-0.17%"
"08/27/2025","7,816.16","7,852.23","7,885.40","7,793.82","86.59M","-0.36%"
"08/26/2025","7,844.17","7,881.43","7,919.10","7,844.17","556.85M","-0.92%"
"08/25/2025","7,917.15","7,932.89","7,932.98","7,902.80","49.66M","-0.79%"
"08/22/2025","7,980.23","8,003.74","8,029.69","7,956.02","135.55M","-0.50%"
"08/21/2025","8,020.36","7,989.79","8,020.36","7,959.71","93.74M","0.43%"
"08/20/2025","7,986.11","7,966.12","7,989.93","7,949.06","70.08M","0.29%"
"08/19/2025","7,962.93","7,887.80","7,964.74","7,887.37","98.22M","1.05%"
"08/18/2025","7,880.25","7,854.83","7,885.27","7,854.39","64.76M","1.28%"
