"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2025","22,516.79","22,487.97","22,722.91","22,455.73","","0.13%"
"10/30/2025","22,487.97","22,610.69","22,623.96","22,261.57","","-0.54%"
"10/29/2025","22,610.69","22,852.54","22,888.02","22,447.35","","-1.06%"
"10/28/2025","22,852.54","22,621.53","22,852.54","22,589.91","","1.02%"
"10/27/2025","22,621.53","22,544.20","22,652.18","22,474.74","","0.34%"
"10/24/2025","22,544.20","22,314.17","22,558.50","22,309.71","","1.03%"
"10/23/2025","22,314.17","22,139.63","22,440.50","22,137.94","","0.79%"
"10/22/2025","22,139.63","21,993.37","22,187.16","21,993.37","","0.67%"
"10/21/2025","21,993.37","21,810.89","22,001.61","21,810.39","","0.84%"
"10/20/2025","21,810.89","21,777.39","21,894.64","21,772.70","","0.15%"
"10/17/2025","21,777.39","21,743.18","21,833.73","21,735.91","","0.16%"
"10/16/2025","21,743.18","21,648.49","21,778.87","21,632.14","","0.44%"
"10/15/2025","21,648.49","21,639.50","21,692.76","21,611.41","","0.04%"
"10/14/2025","21,639.50","21,644.87","21,676.00","21,598.03","","-0.02%"
"10/13/2025","21,644.87","21,629.27","21,666.19","21,539.67","","0.07%"
"10/10/2025","21,629.27","21,619.44","21,676.73","21,601.92","","0.05%"
"10/09/2025","21,619.44","21,609.60","21,690.63","21,599.67","","0.05%"
"10/08/2025","21,609.60","21,524.96","21,614.69","21,476.34","","0.39%"
"10/07/2025","21,524.96","21,536.65","21,558.29","21,433.87","","-0.05%"
"10/06/2025","21,536.65","21,536.81","21,592.24","21,500.18","","0.00%"
"10/03/2025","21,536.81","21,526.78","21,600.37","21,499.85","","0.05%"
"10/02/2025","21,526.78","21,385.15","21,546.01","21,385.15","","0.66%"
"10/01/2025","21,385.15","21,337.07","21,446.27","21,289.32","","0.23%"
"09/30/2025","21,337.07","21,284.69","21,397.36","21,279.82","","0.25%"
"09/29/2025","21,284.69","21,112.08","21,352.52","21,101.17","","0.82%"
"09/26/2025","21,112.08","21,057.61","21,204.82","21,052.01","","0.26%"
"09/25/2025","21,057.61","20,764.77","21,087.71","20,764.77","","1.41%"
"09/24/2025","20,764.77","20,644.54","20,869.70","20,643.32","","0.58%"
"09/23/2025","20,644.54","20,779.27","20,790.22","20,644.54","","-0.65%"
"09/22/2025","20,779.27","20,648.34","20,856.01","20,628.40","","0.63%"
"09/19/2025","20,648.34","20,901.70","20,951.33","20,648.34","","-1.21%"
"09/18/2025","20,901.70","20,869.29","20,921.25","20,861.39","","0.16%"
"09/17/2025","20,869.29","20,695.36","20,889.61","20,695.36","","0.84%"
"09/16/2025","20,695.36","20,792.15","20,847.31","20,695.36","","-0.47%"
"09/15/2025","20,792.15","20,831.38","20,831.76","20,703.61","","-0.19%"
"09/12/2025","20,831.38","20,651.99","20,832.02","20,642.96","","0.87%"
"09/11/2025","20,651.99","20,629.78","20,660.81","20,576.02","","0.11%"
"09/10/2025","20,629.78","20,572.06","20,646.79","20,545.46","","0.28%"
"09/09/2025","20,572.06","20,695.03","20,740.76","20,572.06","","-0.59%"
"09/08/2025","20,695.03","20,770.93","20,775.69","20,652.19","","-0.37%"
"09/05/2025","20,770.93","20,485.23","20,814.28","20,485.23","","1.39%"
"09/04/2025","20,485.23","20,615.07","20,716.76","20,485.23","","-0.63%"
"09/03/2025","20,615.07","20,281.78","20,616.23","20,250.52","","1.64%"
"09/02/2025","20,281.78","20,336.09","20,336.47","20,209.12","","-0.27%"
"09/01/2025","20,336.09","20,557.04","20,572.46","20,271.60","","-1.07%"
"08/29/2025","20,557.04","20,559.21","20,627.64","20,513.75","","-0.01%"
"08/28/2025","20,559.21","20,648.94","20,723.17","20,556.47","","-0.43%"
"08/27/2025","20,648.94","20,630.22","20,739.33","20,609.56","","0.09%"
"08/26/2025","20,630.22","20,811.10","20,850.89","20,630.22","","-0.87%"
"08/25/2025","20,811.10","20,689.53","20,816.83","20,658.01","","0.59%"
"08/22/2025","20,689.53","20,738.67","20,787.56","20,684.32","","-0.24%"
"08/21/2025","20,738.67","20,793.92","20,871.74","20,711.28","","-0.27%"
"08/20/2025","20,793.92","20,617.17","20,811.73","20,616.23","","0.86%"
"08/19/2025","20,617.17","20,738.87","20,851.11","20,617.17","","-0.59%"
"08/18/2025","20,738.87","21,024.30","21,024.30","20,659.50","","-1.36%"
"08/14/2025","21,024.30","21,176.99","21,187.38","20,820.23","","-0.72%"
"08/13/2025","21,176.99","20,826.19","21,179.61","20,824.29","","1.68%"
"08/12/2025","20,826.19","20,925.28","20,967.36","20,826.19","","-0.47%"
"08/11/2025","20,925.28","20,877.39","20,987.97","20,853.89","","0.23%"
"08/08/2025","20,877.39","20,814.90","21,097.73","20,814.90","","0.30%"
"08/07/2025","20,814.90","20,491.26","20,844.89","20,491.26","","1.58%"
"08/06/2025","20,491.26","20,334.44","20,534.45","20,320.61","","0.77%"
"08/05/2025","20,334.44","20,162.70","20,364.88","20,162.70","","0.85%"
"08/04/2025","20,162.70","20,136.61","20,246.84","20,127.99","","0.13%"
"08/01/2025","20,136.61","20,189.38","20,287.02","20,095.49","","-0.26%"
"07/31/2025","20,189.38","20,023.82","20,308.42","20,018.06","","0.83%"
"07/30/2025","20,023.82","19,995.64","20,112.94","19,995.53","","0.14%"
"07/29/2025","19,995.64","19,993.97","20,064.44","19,959.25","","0.01%"
