"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2025","288.58","288.58","288.58","288.58","","-0.20%"
"03/28/2025","289.17","291.52","291.52","289.17","","-0.40%"
"03/25/2025","290.34","290.34","290.34","290.34","","0.61%"
"03/20/2025","288.58","288.58","288.58","288.58","","-3.18%"
"03/06/2025","298.07","298.07","298.07","298.07","","0.00%"
"03/05/2025","298.07","298.07","298.07","298.07","","0.00%"
"03/04/2025","298.07","298.07","298.07","298.07","","0.00%"
"03/03/2025","298.07","298.07","298.07","298.07","","4.16%"
"02/28/2025","286.17","286.17","286.17","286.17","","-0.21%"
"02/27/2025","286.76","286.76","286.76","286.76","","0.00%"
"02/26/2025","286.76","286.76","286.76","286.76","","0.41%"
"02/25/2025","285.59","285.59","285.59","285.59","","0.00%"
"02/24/2025","285.59","285.59","285.59","285.59","","0.00%"
"02/21/2025","285.59","285.59","285.59","285.59","","0.41%"
"02/20/2025","284.41","284.41","284.41","284.41","","0.00%"
"02/19/2025","284.41","284.41","284.41","284.41","","0.00%"
"02/18/2025","284.41","284.41","284.41","284.41","","-6.51%"
"02/17/2025","304.23","304.23","304.23","304.23","","-0.77%"
"02/14/2025","306.59","306.59","306.59","306.59","","0.00%"
"02/13/2025","306.59","306.59","306.59","306.59","","0.78%"
"02/12/2025","304.23","304.23","304.23","304.23","","0.00%"
"02/11/2025","304.23","304.23","304.23","304.23","","0.00%"
"02/10/2025","304.23","304.23","304.23","304.23","","-0.39%"
"02/07/2025","305.41","305.41","305.41","305.41","","0.00%"
"02/06/2025","305.41","305.41","305.41","305.41","","0.00%"
"02/05/2025","305.41","305.41","305.41","305.41","","0.58%"
"02/04/2025","303.64","303.64","303.64","303.64","","1.32%"
"02/03/2025","299.68","299.68","299.68","299.68","","-0.87%"
"01/31/2025","302.32","302.32","302.32","302.32","","0.00%"
"01/30/2025","302.32","302.32","302.32","302.32","","-0.66%"
"01/29/2025","304.33","304.33","304.33","304.33","","0.00%"
"01/28/2025","304.33","304.33","304.33","304.33","","0.00%"
"01/27/2025","304.33","304.33","304.33","304.33","","1.84%"
"01/24/2025","298.84","298.84","298.84","298.84","","0.00%"
"01/23/2025","298.84","298.84","298.84","298.84","","0.00%"
"01/22/2025","298.84","298.84","301.35","298.84","","0.00%"
"01/21/2025","298.84","298.84","298.84","298.84","","0.00%"
"01/20/2025","298.84","298.84","298.84","298.84","","0.00%"
"01/17/2025","298.84","298.84","298.84","298.84","","0.00%"
"01/16/2025","298.84","298.84","298.84","298.84","","0.68%"
"01/15/2025","296.83","296.83","296.83","296.83","","0.39%"
"01/14/2025","295.67","295.67","295.67","295.67","","0.00%"
"01/13/2025","295.67","295.67","295.67","295.67","","0.00%"
"01/10/2025","295.67","295.67","295.67","295.67","","0.00%"
"01/09/2025","295.67","295.67","295.67","295.67","","0.00%"
"01/08/2025","295.67","295.67","295.67","295.67","","-0.84%"
"01/07/2025","298.18","298.18","298.18","298.18","","-0.21%"
"01/03/2025","298.81","298.81","298.81","298.81","","0.21%"
"01/02/2025","298.18","298.18","298.18","298.18","","1.06%"
"12/30/2024","295.04","295.04","295.04","295.04","","0.00%"
"12/27/2024","295.04","295.04","295.04","295.04","","-0.63%"
"12/23/2024","296.92","296.92","296.92","296.92","","0.00%"
"12/20/2024","296.92","296.92","296.92","296.92","","0.00%"
"12/19/2024","296.92","296.92","296.92","296.92","","0.64%"
"12/18/2024","295.04","295.04","295.04","295.04","","-3.49%"
"12/17/2024","305.72","305.72","305.72","305.72","","0.00%"
"12/16/2024","305.72","305.72","305.72","305.72","","0.00%"
"12/13/2024","305.72","306.98","306.98","305.72","","-0.41%"
"12/12/2024","306.98","306.98","306.98","306.98","","0.41%"
"12/11/2024","305.72","305.72","305.72","305.72","","0.00%"
"12/10/2024","305.72","305.72","305.72","305.72","","0.00%"
"12/09/2024","305.72","305.72","305.72","305.72","","2.96%"
"12/06/2024","296.92","296.92","296.92","296.92","","0.00%"
"12/05/2024","296.92","296.92","296.92","296.92","","0.00%"
"12/04/2024","296.92","296.92","296.92","296.92","","0.00%"
"12/03/2024","296.92","296.92","296.92","296.92","","0.00%"
"12/02/2024","296.92","296.92","296.92","296.92","","-0.42%"
"11/29/2024","298.18","298.18","298.18","298.18","","0.00%"
"11/28/2024","298.18","298.18","298.18","298.18","","0.00%"
"11/27/2024","298.18","298.18","298.18","298.18","","0.00%"
"11/26/2024","298.18","298.18","298.18","298.18","","0.00%"
"11/25/2024","298.18","298.18","298.18","298.18","","0.00%"
"11/22/2024","298.18","298.18","298.18","298.18","","0.00%"
"11/21/2024","298.18","298.18","298.18","298.18","","0.00%"
"11/20/2024","298.18","298.18","298.18","298.18","","0.00%"
"11/19/2024","298.18","298.18","298.18","298.18","","0.00%"
"11/18/2024","298.18","298.18","298.18","298.18","","0.00%"
"11/15/2024","298.18","298.18","298.18","298.18","","0.00%"
"11/14/2024","298.18","298.18","298.18","298.18","","-1.21%"
"11/13/2024","301.84","301.84","301.84","301.84","","0.00%"
"11/12/2024","301.84","301.84","301.84","301.84","","0.00%"
"11/11/2024","301.84","301.84","301.84","301.84","","0.00%"
"11/08/2024","301.84","301.84","301.84","301.84","","0.00%"
"11/07/2024","301.84","301.84","301.84","301.84","","-0.36%"
"11/06/2024","302.93","302.93","302.93","302.93","","0.00%"
"11/05/2024","302.93","302.93","302.93","302.93","","0.21%"
"11/04/2024","302.31","302.31","302.31","302.31","","-0.20%"
"10/31/2024","302.93","302.93","302.93","302.93","","0.00%"
"10/30/2024","302.93","302.93","302.93","302.93","","0.00%"
"10/29/2024","302.93","306.07","306.07","302.93","","-1.03%"
"10/28/2024","306.07","306.07","306.07","306.07","","-0.41%"
"10/25/2024","307.33","306.70","307.33","306.70","","-0.61%"
"10/24/2024","309.21","309.21","309.21","309.21","","0.20%"
"10/23/2024","308.59","308.59","308.59","306.70","","0.62%"
"10/22/2024","306.70","306.70","306.70","306.70","","-0.61%"
"10/21/2024","308.59","308.59","308.59","308.59","","0.00%"
