"Date","Price","Open","High","Low","Vol.","Change %"
"10/30/2025","2,477.73","2,466.35","2,486.62","2,460.89","7.16K","0.34%"
"10/29/2025","2,469.25","2,488.42","2,488.42","2,459.40","20.04K","-0.66%"
"10/28/2025","2,485.78","2,471.69","2,499.10","2,468.37","16.48K","0.18%"
"10/27/2025","2,481.29","2,502.25","2,502.25","2,471.18","15.88K","-1.18%"
"10/24/2025","2,510.85","2,507.74","2,511.27","2,488.41","15.24K","1.49%"
"10/23/2025","2,473.93","2,532.78","2,535.03","2,468.87","36.12K","-1.99%"
"10/22/2025","2,524.07","2,507.73","2,536.04","2,507.73","48.49K","0.42%"
"10/21/2025","2,513.50","2,458.09","2,522.39","2,458.09","36.53K","2.32%"
"10/20/2025","2,456.58","2,433.12","2,461.40","2,433.12","20.58K","1.39%"
"10/17/2025","2,422.96","2,441.32","2,448.30","2,420.47","22.54K","-1.11%"
"10/16/2025","2,450.19","2,424.93","2,452.69","2,424.93","7.19K","-0.38%"
"10/15/2025","2,459.42","2,437.75","2,466.70","2,437.75","15.69K","0.95%"
"10/14/2025","2,436.16","2,429.78","2,442.83","2,418.35","17.69K","0.18%"
"10/13/2025","2,431.81","2,409.77","2,435.14","2,407.79","17.78K","1.22%"
"10/10/2025","2,402.48","2,383.75","2,402.48","2,332.96","57.13K","0.16%"
"10/09/2025","2,398.75","2,422.21","2,435.38","2,394.83","38.24K","-1.11%"
"10/08/2025","2,425.68","2,432.29","2,436.57","2,420.48","40.66K","-0.85%"
"10/07/2025","2,446.52","2,482.65","2,484.87","2,421.91","42.63K","-1.07%"
"10/06/2025","2,473.07","2,512.08","2,515.06","2,473.07","33.89K","-1.46%"
"10/03/2025","2,509.72","2,510.57","2,514.40","2,495.00","15.14K","-0.10%"
"10/02/2025","2,512.16","2,505.52","2,526.69","2,505.52","26.24K","-0.07%"
"10/01/2025","2,513.91","2,514.63","2,526.03","2,501.23","26.38K","0.36%"
"09/30/2025","2,504.90","2,499.94","2,511.36","2,494.63","33.23K","0.56%"
"09/29/2025","2,491.01","2,480.80","2,497.64","2,479.83","18.44K","0.27%"
"09/26/2025","2,484.41","2,482.19","2,493.21","2,478.55","30.27K","0.00%"
"09/25/2025","2,484.52","2,474.60","2,487.50","2,474.60","9.61K","0.20%"
"09/24/2025","2,479.57","2,461.53","2,481.30","2,461.53","18.02K","-0.06%"
"09/23/2025","2,481.11","2,473.10","2,481.11","2,455.65","34.63K","0.33%"
"09/22/2025","2,472.89","2,482.11","2,488.90","2,472.89","14.00K","-0.44%"
"09/19/2025","2,483.80","2,477.86","2,498.13","2,477.86","26.49K","0.36%"
"09/18/2025","2,474.98","2,481.36","2,484.66","2,471.34","29.47K","-0.50%"
"09/17/2025","2,487.51","2,492.73","2,497.82","2,474.66","32.74K","-0.58%"
