"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2025","2,767.07","2,779.79","2,779.79","2,763.97","37.51M","-0.56%"
"10/30/2025","2,782.77","2,779.39","2,784.98","2,771.89","54.11M","0.18%"
"10/29/2025","2,777.91","2,784.78","2,788.71","2,774.44","72.59M","-0.42%"
"10/28/2025","2,789.52","2,789.04","2,791.53","2,778.94","63.52M","-0.29%"
"10/27/2025","2,797.73","2,795.21","2,802.27","2,787.46","56.69M","0.39%"
"10/24/2025","2,786.89","2,768.58","2,788.81","2,762.85","69.57M","1.08%"
"10/23/2025","2,757.09","2,757.21","2,758.99","2,742.19","90.13M","0.42%"
"10/22/2025","2,745.54","2,749.69","2,755.63","2,741.70","75.53M","-0.32%"
"10/21/2025","2,754.25","2,743.64","2,754.34","2,730.28","61.18M","0.66%"
"10/20/2025","2,736.17","2,716.98","2,738.82","2,703.82","66.35M","1.29%"
"10/17/2025","2,701.40","2,716.21","2,718.78","2,682.40","84.83M","-1.47%"
"10/16/2025","2,741.83","2,741.05","2,746.30","2,727.63","66.65M","0.13%"
"10/15/2025","2,738.14","2,745.08","2,745.66","2,729.32","79.83M","0.62%"
"10/14/2025","2,721.20","2,686.93","2,721.20","2,682.23","90.59M","0.45%"
"10/13/2025","2,709.03","2,718.71","2,723.00","2,697.19","57.28M","0.06%"
"10/10/2025","2,707.50","2,730.90","2,747.71","2,707.50","56.13M","-0.83%"
"10/09/2025","2,730.05","2,740.23","2,749.79","2,728.24","52.28M","-0.13%"
"10/08/2025","2,733.49","2,727.10","2,741.39","2,722.13","67.43M","0.42%"
"10/07/2025","2,722.12","2,738.36","2,740.83","2,721.13","55.43M","-0.70%"
"10/06/2025","2,741.29","2,726.65","2,751.86","2,720.82","66.12M","0.45%"
"10/03/2025","2,728.97","2,718.46","2,729.53","2,717.78","47.16M","0.75%"
"10/02/2025","2,708.59","2,696.78","2,715.93","2,696.14","65.62M","1.18%"
"10/01/2025","2,677.09","2,658.96","2,679.53","2,650.52","69.96M","0.54%"
"09/30/2025","2,662.80","2,649.20","2,662.93","2,640.82","78.14M","0.41%"
"09/29/2025","2,652.03","2,655.47","2,662.42","2,643.97","64.50M","0.28%"
"09/26/2025","2,644.62","2,633.68","2,651.00","2,626.09","64.38M","0.80%"
"09/25/2025","2,623.51","2,644.32","2,645.39","2,618.35","74.85M","-0.83%"
"09/24/2025","2,645.36","2,664.09","2,664.90","2,642.33","75.02M","-0.96%"
